School Name,NCES School ID,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified
DeWitt High School,261155004582,Clinton County,PO Box 800,DeWitt,MI,48820,800,(517)668-3100,21,Suburb: Large,No,No,No,†,995,49.67,20.03,130,27,–
Dexter Alternative School,261203008790,Washtenaw County,2704 BAKER RD,Dexter,MI,48130,1535,(734)424-4100,21,Suburb: Large,No,No,Yes,No,13,1.06,12.26,5,0,–
Dexter High School,261203004916,Washtenaw County,2200 NORTH PARKER RD,DEXTER,MI,48130,9470,(734)424-4240,41,Rural: Fringe,No,No,No,†,1160,69.61,16.66,106,10,–
Diann BanksWilliamson Educational Center,260110301703,Wayne County,5020 CADIEUX RD,DETROIT,MI,48224,2153,(313)347-7280,11,City: Large,No,No,No,†,35,5,7,27,0,–
DiAnne M Pellerin Center,262187008075,Macomb County,24001 F V PANKOW BLVD,CLINTON TOWNSHIP,MI,48038,,(586)783-6420,21,Suburb: Large,No,No,Yes,Yes,196,15.7,12.48,119,9,–
DickinsonIron Special Education,268036001336,Dickinson County,1074 PYLE DR,KINGSFORD,MI,49802,4451,(906)779-2692,33,Town: Remote,No,No,No,†,57,8,7.13,35,4,–
DickinsonIron Tech Ed Center,268036000498,Dickinson County,300 NORTH BLVD,KINGSFORD,MI,49802,4412,(906)779-2697,33,Town: Remote,No,No,No,†,0,9,†,–,–,–
Diploma and Careers Institute,260369008854,Oakland County,1435 W AUBURN RD,ROCHESTER HLS,MI,48309,4344,(313)575-3768,21,Suburb: Large,No,No,Yes,Yes,417,6.91,60.35,307,6,–
DK Academy,261191000112,Barry County,10425 PANTHER PRIDE,DELTON,MI,49046,8825,(269)623-1525,42,Rural: Distant,No,No,Yes,Yes,74,1,74,40,1,–
Dollar BayTamarack City Area K12 School,262694006308,Houghton County,PO Box 371,Dollar Bay,MI,49922,371,(906)482-5812,33,Town: Remote,No,No,Yes,Yes,322,20.49,15.71,166,39,–
Doris Klaussen Dev Center,268020000118,Calhoun County,408 JAMESON ST,BATTLE CREEK,MI,49014,,(269)964-9426,23,Suburb: Small,No,No,No,†,256,29,8.83,158,8,–
Douglas R Welch High School,261925001313,Ionia County,250 EAST TUTTLE RD,IONIA,MI,48846,8605,(616)527-3530,41,Rural: Fringe,No,No,Yes,Yes,82,1.45,56.55,52,4,–
Downriver Digital Academy,261293008570,Wayne County,27225 W OUTER DR,ECORSE,MI,48229,1217,(313)294-4750,21,Suburb: Large,No,Yes,Yes,Yes,50,0.49,102.04,40,0,–
DPSCD Virtual School,260110309014,Wayne County,14771 MANSFIELD ST,DETROIT,MI,48227,1801,(313)873-6897,11,City: Large,No,No,No,†,1840,43,42.79,1518,8,–
Dryden High School,261224004926,Lapeer County,3866 ROCHESTER RD,DRYDEN,MI,48428,9721,(810)448-4042,42,Rural: Distant,No,No,Yes,No,203,12.3,16.5,67,6,–
Dundee Community High School,261230004929,Monroe County,130 VIKING DR,DUNDEE,MI,48131,1170,(734)529-7008,31,Town: Fringe,No,No,Yes,No,491,20.64,23.79,111,19,–
Dunes Alternative High School,263591008224,Ottawa County,3685 Butternut Drive,Holland,MI,49424,,(616)786-1100,23,Suburb: Small,No,No,Yes,Yes,61,0.8,76.25,44,3,–
Durand Area High School,261233004934,Shiawassee County,9575 EAST MONROE RD,DURAND,MI,48429,1356,(989)288-2684,31,Town: Fringe,No,No,No,†,438,24.68,17.75,170,19,–
EA Johnson Memorial HS,262472006128,Genesee County,8041 NEFF RD,MOUNT MORRIS,MI,48458,1308,(810)591-2370,41,Rural: Fringe,No,No,Yes,Yes,455,23.9,19.04,316,15,–
Early College Alliance,268099008061,Washtenaw County,220 KING HALL,YPSILANTI,MI,48197,2239,(734)487-4290,21,Suburb: Large,No,No,No,†,464,15,30.93,119,16,–
Early College at Montcalm Community College,268083008434,Montcalm County,1550 WEST SIDNEY RD,SIDNEY,MI,48885,9748,(616)225-5706,42,Rural: Distant,No,Yes,No,†,73,4,18.25,22,4,–
East China Virtual Academy,261242008978,St. Clair County,1585 MEISNER RD,EAST CHINA,MI,48054,4143,(810)676-1018,41,Rural: Fringe,No,No,Yes,Yes,78,4.15,18.8,35,0,–
East English Village Preparatory Academy,260110308306,Wayne County,5020 Cadieux,DETROIT,MI,48224,,(313)873-0655,11,City: Large,No,No,Yes,Yes,794,48.3,16.44,682,9,–
East Grand Rapids High School,261248004961,Kent County,2211 LAKE DR SE,GRAND RAPIDS,MI,49506,3026,(616)235-7555,21,Suburb: Large,No,No,Yes,No,925,52.87,17.5,65,9,–
East Jackson Secondary School,261254004967,Jackson County,1566 NORTH SUTTON RD,JACKSON,MI,49202,2824,(517)764-1700,23,Suburb: Small,No,No,Yes,Yes,380,21.54,17.64,240,15,–
East Jordan Alternative High School,261256008823,Charlevoix County,PO Box 399,East Jordan,MI,49727,,(231)536-0053,42,Rural: Distant,No,No,Yes,Yes,12,0.1,120,6,3,–
East Jordan MiddleHigh School,261256004969,Charlevoix County,PO Box 399,East Jordan,MI,49727,399,(231)536-2259,42,Rural: Distant,No,No,Yes,Yes,359,23.4,15.34,145,4,–
East Kentwood High School,262034005721,Kent County,6230 KALAMAZOO AVE SE,GRAND RAPIDS,MI,49508,7022,(616)698-6700,21,Suburb: Large,No,No,Yes,Yes,1916,107.15,17.88,1078,205,–
East Lansing High School,261260004971,Ingham County,509 BURCHAM DR,EAST LANSING,MI,48823,2750,(517)333-7500,13,City: Small,No,No,No,†,1216,55.6,21.87,335,47,–
East Lee Campus,261608000588,Kent County,982 LEE ST SW,WYOMING,MI,49509,7501,(616)241-2661,21,Suburb: Large,No,No,Yes,Yes,97,6.33,15.32,85,7,–
Eastern High School,261461001662,Kent County,2200 PETTIS AVE NE,ADA,MI,49301,9266,(616)493-8830,41,Rural: Fringe,No,No,No,†,819,39.76,20.6,109,16,–
Eastern High School,262115005792,Ingham County,626 MARSHALL ST,LANSING,MI,48912,2309,(517)755-1050,12,City: Midsize,No,Yes,Yes,Yes,1099,55.21,19.91,823,31,–
Eastpointe Alternative Center,261245008832,Macomb County,15320 East Nine Mile Road,Eastpointe,MI,48021,2262,(586)533-3708,21,Suburb: Large,No,No,Yes,Yes,0,0,†,–,–,–
Eastpointe High School,261245004950,Macomb County,15501 COUZENS AVE,EASTPOINTE,MI,48021,3911,(586)533-3700,21,Suburb: Large,No,No,Yes,Yes,736,77.24,9.53,556,30,–
Eastpointe Virtual Academy,261245008766,Macomb County,15501 COUZENS AVE,EASTPOINTE,MI,48021,3911,(586)533-3700,21,Suburb: Large,No,No,Yes,Yes,102,1.33,76.69,79,6,–
Eaton County Youth Facility,261641008658,Eaton County,220 LAMSON ST,GRAND LEDGE,MI,48837,1760,(517)925-5403,41,Rural: Fringe,No,No,No,†,18,1.8,10,13,1,–
Eaton Rapids High School,261269004981,Eaton County,800 STATE ST,EATON RAPIDS,MI,48827,1605,(517)663-2216,31,Town: Fringe,No,No,No,†,625,38.06,16.42,169,195,–
Eaton RESA Meadowview Offsite,268038001521,Eaton County,1790 PACKARD HWY,CHARLOTTE,MI,48813,9717,(517)541-8751,41,Rural: Fringe,No,No,No,†,57,7,8.14,28,1,–
Eaton RESA Meadowview Onsite,268038001337,Eaton County,1790 PACKARD HWY,CHARLOTTE,MI,48813,9717,(517)541-8751,31,Town: Fringe,No,No,No,†,31,6,5.17,22,0,–
Eau Claire High School,261281004986,Berrien County,7450 Hochberger Road,Eau Claire,MI,49111,9762,(269)461-6997,41,Rural: Fringe,No,No,Yes,Yes,202,10.1,20,174,5,–
Ecorse Community High School,261293004988,Wayne County,27385 WEST OUTER DR,ECORSE,MI,48229,1281,(313)294-4700,21,Suburb: Large,No,No,Yes,Yes,258,12.4,20.81,199,6,–
Edison,261803005482,Oakland County,1650 MAPLEDALE ST,FERNDALE,MI,48220,,(248)658-5400,21,Suburb: Large,No,No,No,†,46,11,4.18,23,1,–
Edsel Ford High School,261160004590,Wayne County,20601 ROTUNDA DR,DEARBORN,MI,48124,3954,(313)827-1500,12,City: Midsize,No,No,Yes,Yes,1620,83.7,19.35,1063,43,–
Education and Activity Center,268086001279,Newaygo County,4554 WEST CAREER PATHWAY CT,FREMONT,MI,49412,8262,(231)924-7919,41,Rural: Fringe,No,No,No,†,25,3,8.33,13,1,–
Edwardsburg Alternative Learning Center,261299008956,Cass County,69410 SECTION ST,EDWARDSBURG,MI,49112,8603,(269)663-1068,21,Suburb: Large,No,No,Yes,Yes,67,1.78,37.64,43,3,–
Edwardsburg High School,261299005001,Cass County,69410 SECTION ST,EDWARDSBURG,MI,49112,9668,(269)663-1044,21,Suburb: Large,No,No,No,†,817,34,24.03,161,23,–
Egeler Correctional Facility,260000107941,Jackson County,3855 COOPER ST,JACKSON,MI,49201,7547,(517)780-5600,23,Suburb: Small,No,No,No,†,0,0,†,–,–,–
Eisenhower High School,263447007018,Macomb County,6500 25 MILE RD,SHELBY TOWNSHIP,MI,48316,1703,(586)797-1300,21,Suburb: Large,No,No,No,†,1881,86.2,21.82,333,38,–
Elk Rapids High School,261305005002,Antrim County,308 MEGUZEE PT,ELK RAPIDS,MI,49629,9597,(231)264-8108,42,Rural: Distant,No,No,No,†,404,19.53,20.69,80,11,–
Ellsworth Community School,261311005011,Antrim County,9467 PARK ST,ELLSWORTH,MI,49729,9679,(231)588-2544,42,Rural: Distant,No,No,Yes,Yes,234,18.81,12.44,98,16,–
Elmer A Knopf Learning Center,268040000131,Genesee County,2413 WEST MAPLE AVE,FLINT,MI,48507,3429,(810)591-4489,21,Suburb: Large,No,No,No,†,354,39,9.08,168,8,–
Engadine Schools,261560008159,Mackinac County,W13920 MELVILLE ST,ENGADINE,MI,49827,9501,(906)477-6313,43,Rural: Remote,No,No,Yes,Yes,258,17.83,14.47,159,4,–
Ernest W Seaholm High School,260585004217,Oakland County,2436 WEST LINCOLN ST,BIRMINGHAM,MI,48009,1876,(248)203-3702,21,Suburb: Large,No,Yes,No,†,1248,95.59,13.06,110,2,–
Escanaba JuniorSenior High School,261350005014,Delta County,500 SOUTH LINCOLN RD,ESCANABA,MI,49829,1221,(906)786-6521,33,Town: Remote,No,No,No,†,1154,51.2,22.54,510,90,–
Escanaba Student Success Center,261350008581,Delta County,2525 3RD AVE SOUTH,ESCANABA,MI,49829,1258,(906)233-4985,33,Town: Remote,No,No,Yes,Yes,76,1.5,50.67,61,6,–
EUPISD Learning Center,268028001472,Chippewa County,11185 WEST 2ND ST,RUDYARD,MI,49780,9292,(906)478-7931,42,Rural: Distant,No,No,No,†,45,7,6.43,30,3,–
Evart High School,261356005030,Osceola County,6221 95TH AVE,EVART,MI,49631,8455,(231)734-5551,43,Rural: Remote,No,No,Yes,Yes,266,17.77,14.97,163,23,–
Everett High School,262115005794,Ingham County,3900 STABLER ST,LANSING,MI,48910,4567,(517)755-1080,12,City: Midsize,No,Yes,Yes,Yes,1420,66.85,21.24,981,38,–
EwenTrout Creek Consolidated School,260001403877,Ontonagon County,14312 AIRPORT RD,EWEN,MI,49925,,(906)813-0620,43,Rural: Remote,No,No,Yes,Yes,170,19.92,8.53,87,12,–
Excel Charter Academy,260009300597,Kent County,4201 BRETON RD SE,GRAND RAPIDS,MI,49512,3857,(616)281-9339,12,City: Midsize,Yes,No,Yes,Yes,789,40.11,19.67,362,50,–
Fairview School,261056004524,Oscoda County,1879 EAST MILLER RD,FAIRVIEW,MI,48621,8705,(989)848-7004,43,Rural: Remote,No,No,Yes,Yes,302,15.8,19.11,185,24,–
FAPSGEAR UP ACADEMY,261425008756,Genesee County,3100 Owen Rd,Fenton,MI,48430,,(810)591-4700,21,Suburb: Large,No,Yes,Yes,Yes,77,2.33,33.05,47,6,–
Farmington Central High School,261407004371,Oakland County,30175 HIGHMEADOW RD,FARMINGTN HLS,MI,48334,3015,(248)489-3827,13,City: Small,No,No,Yes,Yes,147,26.03,5.65,79,2,–
Farmington High School,261407005039,Oakland County,32000 SHIAWASSEE RD,FARMINGTON,MI,48336,3251,(248)489-3455,21,Suburb: Large,No,No,No,†,1405,83.88,16.75,315,48,–
Farwell High School,261410005058,Clare County,399 EAST MICHIGAN ST,FARWELL,MI,48622,8762,(989)588-9913,32,Town: Distant,No,Yes,No,†,341,13.9,24.53,154,13,–
Farwell Timberland Alternative High School,261410001782,Clare County,399 EAST MICHIGAN ST,FARWELL,MI,48622,8762,(989)588-7219,41,Rural: Fringe,No,No,Yes,Yes,47,1.95,24.1,34,3,–
Fennville Public High School,261423005062,Allegan County,PO Box 2,Fennville,MI,49408,,(269)722-3450,42,Rural: Distant,No,No,No,†,409,20,20.45,262,40,–
Fenton Senior High School,261425005068,Genesee County,3200 WEST SHIAWASSEE AVE,FENTON,MI,48430,1762,(810)591-2600,21,Suburb: Large,No,No,No,†,1136,63.1,18,323,59,–
Ferndale High School,261428005072,Oakland County,881 PINECREST DR,FERNDALE,MI,48220,2310,(248)548-8622,21,Suburb: Large,No,No,No,†,672,38,17.68,336,17,–
Fitzgerald Senior High School,261446005082,Macomb County,23200 RYAN RD,WARREN,MI,48091,4551,(586)757-7070,12,City: Midsize,No,No,Yes,Yes,828,48.19,17.18,692,21,–
Fitzgerald Virtual Academy,261446008625,Macomb County,23200 RYAN RD,WARREN,MI,48091,4551,(586)757-7070,12,City: Midsize,No,No,Yes,Yes,131,75.13,1.74,111,1,–
Flat River Academy,260014501652,Montcalm County,9481 JORDAN RD,GREENVILLE,MI,48838,9437,(616)754-9360,41,Rural: Fringe,Yes,Yes,Yes,Yes,132,11.55,11.43,86,6,–
Flat Rock Academic Virtual Academy 612,260708008605,Wayne County,25600 SENECA ST,FLAT ROCK,MI,48134,1282,(734)535-6600,21,Suburb: Large,No,No,Yes,Yes,175,2.64,66.29,108,4,–
Flat Rock Community High School,260708004305,Wayne County,25600 SENECA ST,FLAT ROCK,MI,48134,1282,(734)535-6600,21,Suburb: Large,No,No,No,†,489,25.65,19.06,167,20,–
Flex High Burton,260111708953,Genesee County,1245 S CENTER RD,BURTON,MI,48509,1723,(877)360-5327,21,Suburb: Large,Yes,No,Yes,Yes,95,1.63,58.28,92,0,–
Flex High North Flint,260111708862,Genesee County,4945 CLIO RD,FLINT,MI,48504,1886,(877)360-5327,13,City: Small,Yes,No,Yes,Yes,144,3.33,43.24,141,0,–
FlexTech High School,260098408257,Livingston County,7707 Conference Center Road,Brighton,MI,48114,,(810)844-3366,22,Suburb: Midsize,Yes,No,Yes,No,214,14.3,14.97,76,4,–
Flextech High School Shepherd,260112208877,Isabella County,380 W BLANCHARD RD,SHEPHERD,MI,48883,9552,(810)206-3260,42,Rural: Distant,Yes,No,Yes,Yes,68,5.8,11.72,30,3,–
Flint Cultural Center Academy,260112408908,Genesee County,1200 ROBERT T LONGWAY BLVD,FLINT,MI,48503,,(810)845-3387,13,City: Small,Yes,No,Yes,Yes,522,24,21.75,356,35,–
Flushing High School,261455005145,Genesee County,5039 DELAND RD,FLUSHING,MI,48433,1307,(810)591-3770,21,Suburb: Large,No,No,Yes,Yes,1275,68.07,18.73,434,72,–
Fordson High School,261160004591,Wayne County,13800 FORD RD,DEARBORN,MI,48126,3209,(313)827-1400,12,City: Midsize,No,No,Yes,Yes,2435,120,20.29,2033,61,–
Forest Area High School,261457005151,Kalkaska County,7741 SHIPPY RD SOUTHWEST,FIFE LAKE,MI,49633,9215,(231)369-2884,42,Rural: Distant,No,No,Yes,Yes,162,10.91,14.85,101,13,–
Forest Park School,261119004569,Iron County,801 FOREST PKWY,CRYSTAL FALLS,MI,49920,1133,(906)214-4695,43,Rural: Remote,No,No,Yes,Yes,444,24.31,18.26,210,30,–
Fowler High School,261470005168,Clinton County,700 SOUTH WRIGHT RD,FOWLER,MI,48835,,(989)593-2250,42,Rural: Distant,No,Yes,Yes,No,184,9.44,19.49,29,12,–
Fowlerville High School,261473005170,Livingston County,7677 WEST SHARPE RD STE A,FOWLERVILLE,MI,48836,8748,(517)223-6040,31,Town: Fringe,No,No,No,†,846,40,21.15,199,46,–
Fowlerville Online Learning Academy,261473008221,Livingston County,7677 WEST SHARPE RD STE A,FOWLERVILLE,MI,48836,8748,(517)223-6040,31,Town: Fringe,No,No,Yes,No,70,0,†,35,0,–
Francis Reh PSA,260021801174,Saginaw County,2201 OWEN ST,SAGINAW,MI,48601,3466,(989)753-2349,13,City: Small,Yes,No,Yes,Yes,476,31,15.35,461,7,–
Frankenmuth High School,261476005172,Saginaw County,525 EAST GENESEE ST,FRANKENMUTH,MI,48734,1139,(989)652-9955,31,Town: Fringe,No,No,No,†,534,21.68,24.63,63,6,–
Frankfort High School,261479005176,Benzie County,534 11TH ST,FRANKFORT,MI,49635,9351,(231)352-4781,43,Rural: Remote,No,No,Yes,Yes,236,16.45,14.35,115,7,–
Franklin High School,262184005882,Wayne County,31000 JOY RD,LIVONIA,MI,48150,3916,(734)744-2655,13,City: Small,No,No,Yes,No,1354,67.23,20.14,433,34,–
Fraser High School,261482005179,Macomb County,34270 GARFIELD RD,FRASER,MI,48026,4007,(586)439-7200,21,Suburb: Large,No,No,No,†,1527,78.63,19.42,533,46,–
Frederick Douglass Academy for Young Men,260110307415,Wayne County,2001 WEST WARREN AVE,DETROIT,MI,48208,2216,(313)596-3555,11,City: Large,No,No,Yes,Yes,62,11.03,5.62,41,0,–
Frederick V Pankow Center,262187000628,Macomb County,24600 F V PANKOW,CLINTON TOWNSHIP,MI,48036,,(586)783-6570,21,Suburb: Large,No,No,No,†,1,28.74,0.03,†,†,†
Freedom Acres School,268054000548,Ionia County,2191 HARWOOD RD,IONIA,MI,48846,9458,(616)527-2921,41,Rural: Fringe,No,No,No,†,127,7.9,16.08,49,1,–
Freeland Middle SchoolHigh School,261506005188,Saginaw County,8250 WEBSTER RD,FREELAND,MI,48623,8445,(989)695-2586,23,Suburb: Small,No,No,No,†,889,40.1,22.17,144,17,–
Fremont High School,261515005194,Newaygo County,5421 S WARNER AVE,FREMONT,MI,49412,8223,(231)924-5300,41,Rural: Fringe,No,No,No,†,684,33.8,20.24,283,152,–
Frontier International Academy,260030101945,Wayne County,13200 CONANT ST,DETROIT,MI,48212,2338,(313)462-6300,11,City: Large,Yes,No,Yes,Yes,693,31,22.35,693,0,–
Fruitport Adult Education,261539007822,Muskegon County,3255 PONTALUNA RD,FRUITPORT,MI,49415,9600,(231)865-3114,22,Suburb: Midsize,No,No,Yes,Yes,18,2,9,13,1,–
Fruitport Alternative High School,261539001794,Muskegon County,3255 PONTALUNA RD,FRUITPORT,MI,49415,9600,(231)865-3101,22,Suburb: Midsize,No,No,Yes,Yes,17,1,17,13,0,–
Fruitport High School,261539005199,Muskegon County,357 NORTH 6TH AVE,FRUITPORT,MI,49415,8613,(231)865-3101,22,Suburb: Midsize,No,No,Yes,Yes,802,38.6,20.78,356,31,–
Fulton Alternative Education,261542001617,Gratiot County,8060 ELY HWY,MIDDLETON,MI,48856,9704,(989)236-7300,42,Rural: Distant,No,No,No,†,2,3.4,0.59,†,†,†
Fulton High School,261542005202,Gratiot County,8060 ELY HWY,MIDDLETON,MI,48856,9704,(989)236-7232,42,Rural: Distant,No,No,Yes,Yes,162,5.55,29.19,63,4,–
GalesburgAugusta Alternative Education,261545008314,Kalamazoo County,1076 N 37th Street,Galesburg,MI,49053,,(269)484-2010,41,Rural: Fringe,No,No,Yes,Yes,7,0,†,†,†,†
GalesburgAugusta High School,261545005205,Kalamazoo County,1076 NORTH 37TH ST,GALESBURG,MI,49053,9762,(269)484-2010,41,Rural: Fringe,No,No,Yes,Yes,366,22.78,16.07,135,10,–
Garber High School,261353005024,Bay County,213 PINE ST,ESSEXVILLE,MI,48732,1582,(989)894-9710,23,Suburb: Small,No,No,No,†,546,58.63,9.31,144,14,–
Garden City High School,261554005213,Wayne County,6500 MIDDLEBELT RD,GARDEN CITY,MI,48135,2129,(734)762-8350,21,Suburb: Large,No,No,No,†,856,60.5,14.15,355,31,–
Gateway to CollegeMott Community College,261452008443,Genesee County,923 EAST KEARSLEY ST,FLINT,MI,48503,1974,(810)762-5172,13,City: Small,No,Yes,No,†,16,0,†,11,0,–
Gateway To Success Academy,260109708715,Mason County,526 N SCOTTVILLE RD,SCOTTVILLE,MI,49454,9572,(231)845-0922,42,Rural: Distant,Yes,No,Yes,Yes,122,7.2,16.94,92,2,–
Gaylord High SchoolVoc Bldg,261573005225,Otsego County,90 LIVINGSTON BLVD,GAYLORD,MI,49735,9387,(989)731-0969,41,Rural: Fringe,No,No,No,†,960,48.08,19.97,377,41,–
Genesee Career Institute,268040008535,Genesee County,2413 WEST MAPLE AVE,FLINT,MI,48507,3493,(810)591-4462,21,Suburb: Large,No,No,No,†,0,39,†,–,–,–
Genesee County Jail,262472008665,Genesee County,1000 EAST MOUNT MORRIS ST,MOUNT MORRIS,MI,48458,2074,(810)591-4776,13,City: Small,No,No,No,†,18,2.67,6.74,12,0,–
Genesee County Juvenile Justice Center,262472008659,Genesee County,1000 EAST MOUNT MORRIS ST,MOUNT MORRIS,MI,48458,2074,(810)591-4776,21,Suburb: Large,No,No,No,†,17,2.33,7.3,13,0,–
Genesee Early College,260789007793,Genesee County,2413 WEST MAPLE AVE,FLINT,MI,48507,3429,(810)591-5115,13,City: Small,No,No,No,†,165,0,†,85,5,–
Genesee High School,261575005229,Genesee County,PO Box 220,Genesee,MI,48437,220,(810)591-1450,21,Suburb: Large,No,No,Yes,Yes,356,16.93,21.03,276,40,–
Genesee STEM Academy,260103908567,Genesee County,5240 Calkins Road,Flint,MI,48532,,(810)600-6466,21,Suburb: Large,Yes,No,Yes,Yes,287,15,19.13,273,6,–
GIRESD Center Programs,268046000529,Isabella County,1131 EAST CENTER ST,ITHACA,MI,48847,1603,(989)773-6956,32,Town: Distant,No,No,No,†,107,53,2.02,68,12,–
Gladstone Area High School,261597005245,Delta County,2100 STATE HIGHWAY M35,GLADSTONE,MI,49837,2814,(906)428-9200,41,Rural: Fringe,No,Yes,No,†,443,21.21,20.89,123,22,–
Gladwin Community Alternative HS,261599000518,Gladwin County,401 NORTH BOWERY AVE,GLADWIN,MI,48624,1409,(989)426-7341,41,Rural: Fringe,No,No,Yes,Yes,26,2.13,12.21,17,2,–
Gladwin High School,261599007485,Gladwin County,1400 NORTH SPRING ST,GLADWIN,MI,48624,1045,(989)426-7341,32,Town: Distant,No,No,No,†,498,21.2,23.49,207,10,–
Glen H Peters School,268072000617,Macomb County,46650 HEYDENREICH RD,MACOMB,MI,48044,4420,(586)465-6251,21,Suburb: Large,No,No,No,†,238,34.6,6.88,113,9,–
Glen Lake Community School,261602005253,Leelanau County,3375 WEST BURDICKVILLE RD,MAPLE CITY,MI,49664,8753,(231)334-3061,43,Rural: Remote,No,No,Yes,No,674,54.37,12.4,201,20,–
Gobles High School,261605005256,Van Buren County,PO Box 412,Gobles,MI,49055,412,(269)628-9340,42,Rural: Distant,No,No,Yes,No,346,17.2,20.12,155,13,–
Gobles Virtual Academy,261605008357,Van Buren County,409 N State Street,Gobles,MI,49055,,(269)628-9340,42,Rural: Distant,No,No,Yes,Yes,26,3.6,7.22,19,0,–
Godwin Heights Learning Center,261611000897,Kent County,3529 DIVISION AVE S,GRAND RAPIDS,MI,49548,2124,(616)252-2040,21,Suburb: Large,No,No,Yes,Yes,71,0.5,142,66,1,–
Godwin Heights Senior High School,261611005261,Kent County,50 35TH ST SW,GRAND RAPIDS,MI,49548,2100,(616)252-2050,21,Suburb: Large,No,No,Yes,Yes,738,40.52,18.21,579,53,–
Gogebic Co Community Education,261947001791,Gogebic County,650 EAST AYER ST,IRONWOOD,MI,49938,2280,(906)932-0932,41,Rural: Fringe,No,No,Yes,Yes,29,1.49,19.46,26,0,–
GogebicOntonagon ISD Special Education,268042001342,Ontonagon County,PO Box 218,Bergland,MI,49910,218,(906)575-3438,43,Rural: Remote,No,No,No,†,42,5,8.4,39,0,–
Golightly Career and Technical Center,260110300749,Wayne County,900 DICKERSON ST,DETROIT,MI,48215,2900,(313)822-8820,11,City: Large,No,No,No,†,3,12,0.25,†,†,†
Goodrich High School,261632005267,Genesee County,8029 GALE RD,GOODRICH,MI,48438,9260,(810)591-2251,41,Rural: Fringe,No,No,Yes,No,689,36.09,19.09,137,16,–
Grand Blanc Community High School,261635005272,Genesee County,12500 HOLLY RD,GRAND BLANC,MI,48439,1868,(810)591-6638,21,Suburb: Large,No,No,No,†,2518,115.27,21.84,706,77,–
Grand Haven Cyber School,261638008318,Ottawa County,1415 S BEECHTREE ST,GRAND HAVEN,MI,49417,2843,(616)850-6800,22,Suburb: Midsize,No,No,Yes,No,167,4.89,34.15,75,11,–
Grand Haven High School,261638005282,Ottawa County,17001 FERRIS ST,GRAND HAVEN,MI,49417,9441,(616)850-6000,22,Suburb: Midsize,No,No,No,†,1727,93.58,18.45,381,44,–
Grand Ledge High School,261641005293,Eaton County,820 SPRING ST,GRAND LEDGE,MI,48837,1834,(517)925-5823,21,Suburb: Large,No,No,No,†,1635,82.5,19.82,337,66,–
Grand Rapids Learning Center,261644008226,Kent County,143 BOSTWICK AVE NORTHEAST,GRAND RAPIDS,MI,49503,3201,(616)819-2010,12,City: Midsize,No,No,Yes,Yes,51,2,25.5,33,4,–
Grand Rapids Montessori Academy,261644000881,Kent County,159 COLLEGE AVE NE,GRAND RAPIDS,MI,49503,3419,(616)819-2405,12,City: Midsize,No,No,Yes,Yes,315,17,18.53,164,23,–
Grand Rapids Montessori MiddleHigh,261644008881,Kent County,421 FOUNTAIN ST NE,GRAND RAPIDS,MI,49503,3334,(616)819-2405,12,City: Midsize,No,No,Yes,Yes,192,11.8,16.27,116,22,–
Grand Rapids Public Museum High,261644008677,Kent County,54 JEFFERSON AVE SE,GRAND RAPIDS,MI,49503,4304,(616)819-6450,12,City: Midsize,No,No,Yes,Yes,272,16.2,16.79,140,29,–
Grand Rapids University Preparatory Academy,261644007902,Kent County,512 DIVISION AVE S,GRAND RAPIDS,MI,49503,5107,(616)819-1010,12,City: Midsize,No,Yes,Yes,Yes,449,29.22,15.37,372,32,–
Grand River Preparatory High School,260109507913,Kent County,650 52nd St SE,Grand Rapids,MI,49548,,(616)261-1800,13,City: Small,Yes,No,Yes,Yes,601,27.83,21.6,378,52,–
Grand Traverse Academy,260026501343,Grand Traverse County,1245 HAMMOND RD E,TRAVERSE CITY,MI,49686,9000,(231)932-6025,33,Town: Remote,Yes,No,Yes,No,792,49,16.16,298,4,–
Grandville Education Center,261647008958,Kent County,3481 FAIRLANES AVE SW,GRANDVILLE,MI,49418,,(616)254-6105,21,Suburb: Large,No,No,Yes,Yes,26,1.15,22.61,12,4,–
Grandville High School,261647005381,Kent County,4700 CANAL AVE SW,GRANDVILLE,MI,49418,9724,(616)254-6426,21,Suburb: Large,No,No,No,†,1837,103.85,17.69,505,84,–
Grant High School,261650005387,Newaygo County,331 EAST STATE RD,GRANT,MI,49327,8504,(231)834-5622,42,Rural: Distant,No,No,No,†,541,23.23,23.29,260,37,–
Grant Learning Center,261650002052,Newaygo County,331 E STATE RD,GRANT,MI,49327,8504,(231)834-5622,42,Rural: Distant,No,No,No,†,64,0.73,87.67,17,0,–
Grass Lake High School,261683005391,Jackson County,11500 WARRIOR TRL,GRASS LAKE,MI,49240,9814,(517)867-5570,41,Rural: Fringe,No,No,No,†,360,19.1,18.85,74,22,–
Grayling High School,261103004561,Crawford County,1135 NORTH OLD 27,GRAYLING,MI,49738,9777,(989)344-3508,41,Rural: Fringe,No,No,No,†,459,25.66,17.89,204,18,–
Great Lakes Bay Early College,268093008290,Bay County,1961 DELTA RD,UNIV CTR,MI,48710,1001,(989)686-9146,41,Rural: Fringe,No,No,No,†,207,14.99,13.81,53,5,–
