ProperName,PopularName,ProperName_Score,PopularName_Score,MHSAA_SchoolId,SchoolInfo_Index,School_Name,City
melvindale high school,Melvindale,100,56,4560,808,melvindale high school,MELVINDALE
southgate anderson high school,Southgate Anderson,100,67,4561,1102,southgate anderson high school,SOUTHGATE
breckenridge high school,Breckenridge,100,61,4562,135,breckenridge high school,Breckenridge
ravenna high school,Ravenna,100,46,4563,1020,ravenna high school,RAVENNA
sault area high school,Sault Ste Marie,100,51,4564,1078,sault area high school,SAULT SAINTE MARIE
st louis high school,St Louis,100,47,4567,1121,st louis high school,SAINT LOUIS
hudsonville high school,Hudsonville,100,59,4569,577,hudsonville high school,HUDSONVILLE
cody high school,Detroit Cody,100,53,4570,268,cody high school,DETROIT
alpena high school,Alpena,100,42,4574,39,alpena high school,ALPENA
bullock creek high school,Midland Bullock Creek,100,48,4576,154,bullock creek high school,MIDLAND
goodrich high school,Goodrich,100,50,4580,471,goodrich high school,GOODRICH
mancelona high school,Mancelona,100,53,4582,773,mancelona high school,MANCELONA
plymouth christian academy,Plymouth Christian Academy,100,88,4585,1427,plymouth christian academy,CANTON
beaver island community school,Beaver Island,100,51,4590,87,beaver island community school,BEAVER ISLAND
the valley school,Swartz Creek Valley School,100,68,4592,1452,the valley school,SWARTZ CREEK
new life christian academy,Kimball New Life Christian,100,58,4597,1413,new life christian academy,KIMBALL
farber hebrew day school,Farber Hebrew Day,100,68,4598,1360,farber hebrew day school,SOUTHFIELD
howardsville christian school,Marcellus Howardsville Christian,100,66,4611,1379,howardsville christian school,MARCELLUS
loyola high school,Detroit Loyola,100,61,4612,1399,loyola high school,DETROIT
novi christian academy,Novi Christian Academy,100,86,4615,1420,novi christian academy,NOVI
northern michigan christian academy,Burt Lake Northern Michigan Christian,100,68,4628,1415,northern michigan christian academy,BURT LAKE
dakota high school,Macomb Dakota,100,48,4630,315,dakota high school,MACOMB
pansophia academy,Coldwater Pansophia Academy,100,68,4637,960,pansophia academy,COLDWATER
heritage christian academy,Kalamazoo Heritage Christian,100,65,4640,1377,heritage christian academy,KALAMAZOO
grace christian school,Saginaw Grace Christian,100,62,4645,1368,grace christian school,WATERVLIET
traverse city christian school,Traverse City Christian,100,75,4648,1454,traverse city christian school,TRAVERSE CITY
henry ford academy,Dearborn Henry Ford Academy,100,67,4660,536,henry ford academy,Dearborn
zeeland west high school,Zeeland West,100,56,4662,1313,zeeland west high school,ZEELAND
pontiac academy for excellence,Pontiac Academy for Excellence,100,90,4663,999,pontiac academy for excellence,PONTIAC
parkway christian school,Sterling Heights Parkway Christian,100,63,4667,1425,parkway christian school,STERLING HEIGHTS
flat river academy,Flat River Academy,100,83,4669,414,flat river academy,GREENVILLE
south lyon east high school,South Lyon East,100,57,4670,1095,south lyon east high school,SOUTH LYON
henry ford academy,Henry Ford Academy 7/8,100,75,5295,536,henry ford academy,Dearborn
academy of the sacred heart,Academy Of The Sacred Heart,100,81,5306,1314,academy of the sacred heart,BLOOMFIELD HILLS
oakland christian school,Oakland Christian School,100,88,5361,1422,oakland christian school,AUBURN HILLS
st mary school,Pinckney St Mary's School,100,63,5400,1445,st mary school,LAKE LEELANAU
st mary school,Mt Morris St Mary School,100,63,5465,1445,st mary school,LAKE LEELANAU
zion christian school,Zion Christian School 7/8,100,78,5686,1469,zion christian school,BYRON CENTER
west mi academy of environmental science,West MI Academy of Environmental Science,100,85,5707,1268,west mi academy of environmental science,GRAND RAPIDS
pontiac high school,Pontiac,100,46,7342,1000,pontiac high school,PONTIAC
clonlara school,Ann Arbor Clonlara,100,48,7345,1342,clonlara school,ANN ARBOR
frontier international academy,Detroit Frontier International,100,67,7347,439,frontier international academy,DETROIT
grand traverse academy,Grand Traverse Academy,100,86,7348,482,grand traverse academy,TRAVERSE CITY
detroit cristo rey high school,Detroit Cristo Rey,100,62,7349,1351,detroit cristo rey high school,DETROIT
landmark academy,Kimball Landmark Academy,100,75,8321,696,landmark academy,KIMBALL
barry county christian school,Barry County Christian (MI),100,71,8767,1321,barry county christian school,HASTINGS
faith baptist school,Davison Faith Baptist (MI),100,53,8773,1356,faith baptist school,DAVISON
the leelanau school,Glen Arbor The Leelanau School (MI),100,59,8775,1450,the leelanau school,GLEN ARBOR
arbor preparatory high school,Ypsilanti Arbor Prep,100,45,8873,47,arbor preparatory high school,Ypsilanti
wellspring preparatory high school,Grand Rapids Wellspring Prep,100,64,8876,1264,wellspring preparatory high school,GRAND RAPIDS
st catherine of siena academy,Wixom St Catherine,100,49,8886,1442,st catherine of siena academy,WIXOM
genesee academy,Swartz Creek Genesee Academy,100,60,8946,1366,genesee academy,SWARTZ CREEK
jalen rose leadership academy,Detroit Jalen Rose Leadership Academy,100,76,8947,623,jalen rose leadership academy,Detroit
livingston christian schools,Brighton Livingston Christian,100,63,8949,1398,livingston christian schools,BRICHTON
wyoming high school,Wyoming,100,46,8951,1306,wyoming high school,WYOMING
rochester hills christian school,Rochester Hills Christian,100,77,9042,1432,rochester hills christian school,ROCHESTER HILLS
bethany christian school,Troy Bethany Christian,100,65,9043,1326,bethany christian school,TROY
muskegon heights academy,Muskegon Heights Academy,100,88,9065,863,muskegon heights academy,MUSKEGON
west michigan aviation academy,Grand Rapids West Michigan Aviation Academy,100,71,9162,1269,west michigan aviation academy,Grand Rapids
bloomfield hills high school,Bloomfield Hills,100,64,9195,122,bloomfield hills high school,BLOOMFIELD TOWNSHIP
austin catholic high school,Chesterfield Austin Catholic,100,58,9206,1320,austin catholic high school,CHESTERFIELD
skeels christian school,Skeels Christian School,100,87,9239,1438,skeels christian school,GLADWIN
fellowship baptist academy,Fellowship Baptist Academy,100,88,9244,1361,fellowship baptist academy,CARSON CITY
berean baptist academy,Berean Baptist Academy,100,86,9245,1324,berean baptist academy,ADRIAN
lincoln high school,Lincoln HS,100,58,9247,729,lincoln high school,WARREN
lake orion baptist school,Lake Orion Baptist School,100,84,9248,1393,lake orion baptist school,LAKE ORION
universal learning academy,Westland Universal Learning Academy,100,75,9257,1194,universal learning academy,WESTLAND
university yes academy,Detroit University YES Academy,100,65,9309,1200,university yes academy,Detroit
taylor preparatory high school,Taylor Prep,100,44,9324,1150,taylor preparatory high school,TAYLOR
lapeer high school,Lapeer,100,53,9325,699,lapeer high school,LAPEER
detroit school of arts,Detroit School of Arts,100,86,9449,341,detroit school of arts,DETROIT
canton preparatory high school,Canton Prep,100,53,9455,173,canton preparatory high school,CANTON
oakdale academy,Oakdale Academy,100,87,9459,1421,oakdale academy,WATERFORD
bridgeport baptist academy,Bridgeport Baptist Academy,100,88,9506,1328,bridgeport baptist academy,SAGINAW
libertas christian school,Hudsonville Libertas Christian,100,62,9633,1397,libertas christian school,HUDSONVILLE
st mary school,St. Mary School,100,76,9668,1445,st mary school,LAKE LEELANAU
st mary school,Westphalia St Mary Schools,100,60,9670,1445,st mary school,LAKE LEELANAU
st mary school,Charlotte St Mary School,100,65,9719,1445,st mary school,LAKE LEELANAU
washtenaw technical middle college,Washtenaw Technical,100,64,9737,1242,washtenaw technical middle college,ANN ARBOR
taylor high school,Taylor,100,42,9930,1149,taylor high school,TAYLOR
francis reh psa,Francis Reh PSA,100,67,9953,429,francis reh psa,SAGINAW
delton kellogg high school,Delton Kellogg,98,56,3898,330,deltonkellogg high school,DELTON
croswell-lexington high school,Croswell-Lexington,98,64,3934,313,croswelllexington high school,CROSWELL
galesburg-augusta high school,Galesburg-Augusta,98,62,4002,446,galesburgaugusta high school,GALESBURG
hanover-horton high school,Hanover-Horton,98,56,4024,512,hanoverhorton high school,HORTON
reeths-puffer high school,Muskegon Reeths-Puffer,98,52,4048,1026,reethspuffer high school,MUSKEGON
ovid-elsie high school,Ovid-Elsie,98,45,4104,953,ovidelsie high school,ELSIE
johannesburg-lewiston high school,Johannesburg-Lewiston,98,68,4129,633,johannesburglewiston high school,Johannesburg
carson city-crystal high school,Carson City-Crystal,98,61,4154,197,carson citycrystal high school,Carson City
unionville sebewaing high school,Unionville-Sebewaing,98,67,4192,1191,unionvillesebewaing high school,SEBEWAING
carman-ainsworth high school,Flint Carman-Ainsworth,98,55,4199,190,carmanainsworth high school,Flint
climax-scotts high school,Climax-Scotts,98,54,4214,258,climaxscotts high school,CLIMAX
north star montessori academy ,Marquette North Star Academy,98,60,9182,902,north star montessori academy,MARQUETTE
faith christian schools,Faith Christian Schools,98,84,9227,1357,faith christian school,CLINTON TOWNSHIP
charlton heston academy ,St Helen Charlton Heston Academy,98,73,9310,233,charlton heston academy,SAINT HELEN
detroit public safety academy ,Detroit Public Safety Academy ,98,85,9354,340,detroit public safety academy,DETROIT
warren woods-tower high school,Warren Woods Tower,97,62,3929,1237,warren woods tower high school,Warren
mc bain high school,McBain,97,40,4526,804,mcbain high school,MC BAIN
st marys school,Spring Lake St Marys School,97,68,5510,1445,st mary school,LAKE LEELANAU
reformed heritage chrisitan school,Kalamazoo Reformed,97,55,8874,1430,reformed heritage christian school,KALAMAZOO
st mary school ,Big Rapids St Mary Schl ,97,61,9450,1445,st mary school,LAKE LEELANAU
southwestern high school,Detroit Southwestern,96,52,4081,1098,southeastern high school,Detroit
mio-au sable high school,Mio,96,44,4186,837,mioausable high school,MIO
augres-sims high school,Au Gres-Sims,96,46,4201,61,au gressims high school,Au Gres
east catholic high school,Detroit East Catholic,96,60,4510,1462,west catholic high school,GRAND RAPIDS
trinity christian school,Detroit Trinity Christian,96,63,4607,1455,tri-unity christian school,WYOMING
eaton academy,Eastpointe Eaton Academy,96,72,4657,1353,eton academy,BIRMINGHAM
east english village preparatory acad,Detroit East English,96,55,8950,365,east english village preparatory academy,DETROIT
emmanuel christian school,Emmanuel Christian School,96,88,9076,1381,immanuel christian school,ROSCOMMON
southfield high school for the arts & technology,Southfield Arts & Technology,96,62,9630,1100,southfield high school for the arts and technology,SOUTHFIELD
leland high school,Leland,95,38,3974,682,lakeland high school,WHITE LAKE
gabriel richard high school,Riverview Gabriel Richard,95,60,4202,1363,fr gabriel richard high school,ANN ARBOR
benzie central high school,Benzie Central,95,57,4359,105,benzie central sr high school,BENZONIA
mayville high school,Mayville,95,59,4508,795,marysville high school,MARYSVILLE
communication media arts high school,Detroit Communication Media Arts,95,58,4613,275,communication and media arts high school,DETROIT
saginaw arts & sciences academy,Saginaw Arts & Sciences Academy,94,81,3861,1060,saginaw arts and sciences academy,SAGINAW
colon community high school,Colon,94,44,3900,266,clio community high school,CLIO
international academy of flint,International Academy of Flint,94,84,3979,601,international academy of flint k12,FLINT
mt clemens high school,Mount Clemens,94,58,3997,854,mount clemens high school,MOUNT CLEMENS
marian high school,Bloomfield Hills Marian,94,63,4085,17,adrian high school,ADRIAN
lowell high school,Lowell,94,42,4407,574,howell high school,HOWELL
manton high school,Manton,94,42,4475,172,canton high school,CANTON
holt high school,Holt,94,38,4527,560,holton high school,HOLTON
father gabriel richard high school,Ann Arbor Father Gabriel Richard,94,50,4579,1363,fr gabriel richard high school,ANN ARBOR
new covenant christian high school,Lansing New Covenant Christian,94,68,4656,1346,covenant christian high school,GRAND RAPIDS
faith christian academy,Faith Christian Academy,94,82,5398,1359,faithway christian academy,BURTON
novi christian academy ms,Novi Christian Acad MS,94,73,5453,1420,novi christian academy,NOVI
pontiac academy for excellence 6-8,Pontiac Academy for Excellence 6-8,94,84,7407,999,pontiac academy for excellence,PONTIAC
frontier international academy 7/8,Frontier International Academy 7/8,94,84,7409,439,frontier international academy,DETROIT
auburn hills christian school 6-8,Auburn Hills Christian 6-8,94,73,8416,1319,auburn hills christian school,AUBURN HILLS
concord academy of petoskey,Concord Academy of Petoskey,94,82,9945,286,concord academy petoskey,PETOSKEY
crossroads charter academy,Big Rapids Crossroads Academy,93,63,3874,312,crossroads charter academy 712,BIG RAPIDS
mt zion christian school,Waterford Mt Zion Christian,93,56,4038,1469,zion christian school,BYRON CENTER
stephenson high school,Stephenson,93,50,4127,1127,stevenson high school,LIVONIA
north huron high school,Kinde North Huron,93,57,4217,1001,port huron high school,PORT HURON
northwestern high school,inactive,93,55,4236,910,northwest high school,JACKSON
northern michigan christian high school,McBain Northern Michigan Christian,93,74,4496,1416,northern michigan christian school,MC BAIN
tri-unity christian high school,Wyoming Tri-unity Christian,93,64,4596,1456,unity christian high school,HUDSONVILLE
copper country christian high school,Calumet Copper Country Christian,93,67,4616,1344,copper country christian school,CALUMET
faithway baptist school,Ypsilanti Faithway Baptist,93,53,4647,1356,faith baptist school,DAVISON
atlanta community schools 6-8,Atlanta Community Schools 6-8,93,81,4730,60,atlanta community schools,ATLANTA
north adams-jerome middle school,North Adams-Jerome MS,93,54,5485,889,north adamsjerome middlehigh school,NORTH ADAMS
faithway baptist school,Faithway Baptist School,93,79,5605,1356,faith baptist school,DAVISON
michigan school for the deaf 7/8,Flint Michigan School for the Deaf 7/8,93,76,5663,828,michigan school for the deaf,FLINT
galien alternative high school,Galien,93,44,8317,1068,saline alternative high school,SALINE
accelerated learning academy 7-8,Accelerated Learning Academy 7-8,93,83,9714,8,accelerated learning academy,FLINT
covenant christian school,Covenant Christian School,93,81,9818,1412,new covenant christian school,LANSING
advanced technology academy 6-8,Advanced Technology Academy 6-8,93,83,9858,18,advanced technology academy,DEARBORN
andover high school,Bloomfield Hills Andover,92,62,3840,1296,windover high school,MIDLAND
coleman high school,Coleman,92,42,3846,271,coloma high school,COLOMA
decatur high school,Decatur,92,38,3988,334,detour high school,DeTour Village
lutheran high school south,Newport Lutheran South,92,49,4006,1401,lutheran high school north,MACOMB
powers catholic high school,Flint Powers Catholic,92,58,4009,1462,west catholic high school,GRAND RAPIDS
southfield christian high school,Southfield Christian,92,77,4069,1439,south christian high school,BYRON CENTER
gaylord high school,Gaylord,92,40,4095,1149,taylor high school,TAYLOR
fenton high school,Fenton,92,50,4321,1176,trenton high school,TRENTON
watervliet high school,Watervliet,92,50,4333,1250,way watervliet high school,WATERVLIET
our lady of the lake catholic high school,St Joseph Our Lady of the Lake Catholic,92,68,4474,1424,our lady of the lakes catholic school,WATERFORD
carsonville-port sanilac,Carsonville-Port Sanilac,92,80,4506,198,carsonvilleport sanilac hs,CARSONVILLE
thurston high school,Redford Thurston,92,56,4530,581,huron high school,ANN ARBOR
michigan center high school,Michigan Center,92,63,4550,819,michigan center jrsr high school,MICHIGAN CENTER
bentley high school,Burton Bentley,92,55,4571,98,bendle high school,BURTON
harbor light christian high school,Harbor Springs Harbor Light Christian,92,58,4604,1375,harbor light christian school,HARBOR SPRINGS
west michigan lutheran high school,Wyoming West Michigan Lutheran,92,64,4668,1464,west michigan lutheran school,WYOMING
grace christian school 7/8,Grace Christian School 7/8,92,79,5601,1368,grace christian school,WATERVLIET
washtenaw christian academy 7/8 ,Washtenaw Christian Academy 7/8 ,92,81,5710,1460,washtenaw christian academy,SALINE
connor high school,Connor (KY),92,38,6009,287,concord high school,Concord
eaton academy ,Eastpointe Eaton Academy 6/7/8,92,64,8310,1353,eton academy,BIRMINGHAM
washtenaw tech middle college,Ann Arbor Washtenaw Tech,92,53,8329,1242,washtenaw technical middle college,ANN ARBOR
muskegon heights academy 7/8,Muskegon Heights Academy 7/8,92,81,9067,863,muskegon heights academy,MUSKEGON
charlton heston academy 6-8,Charlton Heston Academy 6-8,92,80,9311,233,charlton heston academy,SAINT HELEN
maple valley high school,Vermontville Maple Valley,91,53,3849,780,maple valley jrsr high school,VERMONTVILLE
walkerville high school,Walkerville,91,56,3854,427,fowlerville high school,FOWLERVILLE
forest park high school,Crystal Falls Forest Park,91,48,3857,424,forest area high school,FIFE LAKE
whittemore-prescott high school,Whittemore-Prescott,91,59,3891,1292,whittemoreprescott jrsr high school,Whittemore
lahser high school,Bloomfield Hills Lahser,91,67,3927,683,laker high school,PIGEON
webberville community high school,Webberville,91,59,3964,328,deckerville community high school,DECKERVILLE
houghton lake high school,Houghton Lake,91,51,3975,572,houghton lake jrsr high school,HOUGHTON LAKE
alma high school,Alma,91,50,3987,1067,salem high school,CANTON
lansing catholic high school,Lansing Catholic,91,56,4003,1320,austin catholic high school,CHESTERFIELD
kalamazoo christian high school,Kalamazoo Christian,91,76,4020,1387,kalamazoo christian school,KALAMAZOO
greenville high school,Greenville,91,52,4102,484,grandville high school,GRANDVILLE
oakland christian high school,Auburn Hills Oakland Christian,91,64,4118,1422,oakland christian school,AUBURN HILLS
clio high school,Clio,91,40,4137,261,clinton high school,CLINTON
st mary cathedral high school,Gaylord St Mary,91,48,4145,1443,st mary cathedral school,GAYLORD
detroit country day high school,Detroit Country Day,91,71,4179,1349,detroit country day school,BEVERLY HILLS
flint southwestern classical academy,Flint Southwestern,91,55,4301,1105,southwestern classical academy,FLINT
michigan collegiate high school,Warren Michigan Collegiate,91,55,4314,820,michigan collegiate middlehigh school,WARREN
white pigeon high school,White Pigeon,91,50,4361,1287,white pigeon jrsr high school,WHITE PIGEON
ellsworth community high school,Ellsworth,91,46,4364,392,ellsworth community school,ELLSWORTH
yale high school,Yale,91,57,4485,1067,salem high school,CANTON
hale high school,Hale,91,57,4568,529,haslett high school,HASLETT
inter-city baptist high school,Allen Park Inter-City Baptist,91,56,4584,1382,inter-city baptist school,ALLEN PARK
midland christian high school,Midland Christian,91,73,4593,1408,midland christian school,MIDLAND
lenawee christian high school,Adrian Lenawee Christian,91,62,4601,1396,lenawee christian school,ADRIAN
freedom christian high school,Hudsonville Freedom Christian,91,57,4602,1365,freedom christian school,PITTSFORD
genesee christian high school,Genesee Christian,91,73,4610,1367,genesee christian school,BURTON
traverse city west high school,Traverse City West,91,60,4650,1175,traverse city high school,TRAVERSE CITY
sacred heart academy 7/8,Sacred Heart Academy 7/8,91,77,5313,1436,sacred heart academy,MOUNT PLEASANT
ojibwe charter school 7/8,Ojibwe Charter School,91,86,5740,930,ojibwe charter school,BRIMLEY
connelsville high school,Connelsville (PA),91,56,6316,637,jonesville high school,JONESVILLE
trombly high school,Detroit Trombly HS,91,50,8406,1182,troy high school,Troy
pickford high school,Pickford,90,45,3949,1048,rockford high school,ROCKFORD
glen lake high school,Maple City Glen Lake,90,48,3954,500,gull lake high school,RICHLAND
port hope community high school,Port Hope,90,43,4169,1005,portage community high school,PORTAGE
ladywood high school,Livonia Ladywood,90,48,4221,693,lakewood high school,LAKE ODESSA
superior central high school,Eben Junction Superior Central,90,56,4312,1140,superior central school,Eben Junction
pinconning area high school,Pinconning,90,56,4317,987,pinconning high school,PINCONNING
bark river-harris high school,Bark River-Harris,90,52,4339,70,bark riverharris jrsr high school,Harris
bellevue high school,Bellevue,90,42,4386,96,belleville high school,BELLEVILLE
akron-fairgrove high school,Akron-Fairgrove,90,52,4396,24,akronfairgrove jrsr high school,Fairgrove
north dickinson high school,Felch North Dickinson,90,60,4497,893,north dickinson school,FELCH
hudson area high school,Hudson,90,67,4503,575,hudson area jrsr high school,HUDSON
stockbridge high school,Stockbridge,90,54,4524,1128,stockbridge jrsr high school,STOCKBRIDGE
oa carlson high school,Gibraltar Carlson,90,47,4528,943,oscar a carlson high school,ROCKWOOD
caseville high school,Caseville,90,55,4533,316,dansville high school,DANSVILLE
creston high school,Grand Rapids Creston,90,58,4555,255,clarkston high school,CLARKSTON
owendale-gagetown high school,Owendale-Gagetown,90,56,4572,954,owendalegagetown jrsr high school,OWENDALE
mackinac island high school,Mackinac Island,90,70,4581,759,mackinac island school,Mackinac Island
grace christian high school,Watervliet Grace Christian,90,60,4588,1368,grace christian school,WATERVLIET
bangor alternative high school,Bangor Alternative,90,64,4625,192,caro alternative high school,CARO
grand traverse academy 7/8 ,Grand Traverse Academy 7/8 ,90,78,4666,482,grand traverse academy,TRAVERSE CITY
south christian school,South Christian School,90,78,4718,1439,south christian high school,BYRON CENTER
dewey alternative school,Dewey Alternative School,90,78,5558,344,dexter alternative school,Dexter
new life christian academy 6/7/8,Kimball New Life Christian Academy 6/7/8,90,67,5611,1413,new life christian academy,KIMBALL
center academy,Center Academy,90,76,5669,213,central academy,ANN ARBOR
byron center charter school 6/7/8,Byron Center Charter School 6/7/8,90,77,5722,160,byron center charter school,BYRON CENTER
zoe christian schools,Warren Zoe Christian,90,58,8198,1469,zion christian school,BYRON CENTER
ryle high school,Union Ryle (KY),90,43,8846,707,lee high school,Wyoming
universal learning academy 6/7/8,Universal Learning 6/7/8,90,68,9044,1194,universal learning academy,WESTLAND
munising baptist high school,Wetmore Munising Baptist,90,64,9181,1410,munising baptist school,WETMORE
flint waterbrook christian academy,Flint Waterbrook Christian Academy,90,81,9468,1461,waterbrook christian academy,FLINT
arts & technology acad of pontiac,Arts & Technology Academy of Pontiac,90,84,9490,52,arts and technology academy of pontiac,PONTIAC
pittsford high school,Pittsford,89,46,3899,995,pittsford area high school,PITTSFORD
central montcalm high school,Central Montcalm,89,65,3921,220,central montcalm middle high school,STANTON
river valley high school,Three Oaks River Valley,89,51,3971,1038,river valley middlehigh school,THREE OAKS
st mary preparatory high school,Orchard Lake St Mary's,89,48,3996,1150,taylor preparatory high school,TAYLOR
gwinn high school,Gwinn,89,40,4021,461,gladwin high school,GLADWIN
zion christian high school,Byron Center Zion Christian,89,58,4034,1469,zion christian school,BYRON CENTER
lawrence high school,Lawrence,89,55,4058,701,lawrence jrsr high school,LAWRENCE
onaway area high school,Onaway,89,45,4078,1147,tawas area high school,TAWAS CITY
hamady high school,Flint Hamady,89,57,4090,49,armada high school,ARMADA
albion high school,Albion,89,50,4099,38,almont high school,ALMONT
peck community high school,Peck,89,30,4106,277,community high school,ANN ARBOR
mackinaw city high school,Mackinaw City,89,59,4144,761,mackinaw high school,SAGINAW
northpointe christian high school,Grand Rapids NorthPointe Christian,89,59,4177,1414,north pointe christian schools,GRAND RAPIDS
calvary christian high school,Roseville Calvary Christian,89,58,4220,1335,calvary christian schools,FRUITPORT
university prep academy,Detroit University Prep,89,50,4222,1200,university yes academy,Detroit
ontonagon area high school,Ontonagon,89,53,4232,938,ontonagon area school,ONTONAGON
our lady of the lakes high school,Waterford Our Lady of the Lakes,89,56,4250,1424,our lady of the lakes catholic school,WATERFORD
lake city area high school,Lake City,89,47,4273,675,lake city high school,Lake City
atherton high school,Burton Atherton,89,53,4274,56,athens high school,Troy
north adams-jerome high school,North Adams-Jerome,89,53,4296,889,north adamsjerome middlehigh school,NORTH ADAMS
alanson high school,Alanson ,89,48,4307,257,clawson high school,Clawson
big bay de noc high school,Cooks Big Bay de Noc,89,54,4326,113,big bay de noc school,COOKS
wakefield-marenisco high school,Wakefield-Marenisco,89,73,4330,1225,wakefieldmarenisco school,WAKEFIELD
houghton high school,Houghton,89,42,4338,560,holton high school,HOLTON
mid peninsula high school,Rock Mid Peninsula,89,58,4362,830,mid peninsula school,ROCK
gladstone high school,Gladstone,89,53,4383,459,gladstone area high school,GLADSTONE
hillman high school,Hillman,89,44,4397,556,holland high school,HOLLAND
alcona high school,Alcona,89,40,4400,38,almont high school,ALMONT
pewamo-westphalia high school,Pewamo-Westphalia,89,55,4401,980,pewamowestphalia middlehigh school,WESTPHALIA
harrison high school,Farmington Hills Harrison,89,60,4411,785,marion high school,Marion
seaholm high school,Birmingham Seaholm,89,51,4430,1067,salem high school,CANTON
marlette high school,Marlette,89,53,4472,786,marlette jrsr high school,MARLETTE
bronson high school,Bronson,89,46,4501,132,brandon high school,ORTONVILLE
republic-michigamme high school,Republic-Michigamme,89,73,4522,1032,republicmichigamme school,REPUBLIC
buckley high school,Buckley,89,48,4575,106,berkley high school,BERKLEY
burt township high school,Grand Marais Burt Township,89,53,4578,158,burt township school,Grand Marais
pontiac central high school,Pontiac Central,89,60,4583,1004,portage central high school,PORTAGE
nouvel catholic central high school,Saginaw Nouvel,89,55,4589,1340,catholic central high school,NOVI
calvary christian high school,Fruitport Calvary Christian,89,58,4605,1335,calvary christian schools,FRUITPORT
detroit city high school,Detroit City,89,49,4614,1351,detroit cristo rey high school,DETROIT
calvary high school,Holland Calvary,89,52,4624,251,clare high school,CLARE
tri valley academy,Muskegon Tri Valley,89,60,4634,1037,river valley academy,ROCKFORD
agbu alex & marie manoogian high school,Southfield Manoogian,89,60,4652,20,agbu alexmarie manoogian school,SOUTHFIELD
covenant high school,Redford Covenant,89,52,4664,308,covert high school,COVERT
lake michigan catholic ms,Lake Michigan Catholic MS,89,74,5385,1392,lake michigan catholic school,SAINT JOSEPH
concord academy of petoskey ms,Concord Academy,89,72,5505,286,concord academy petoskey,PETOSKEY
traverse city christian ms,Traverse City Christian MS,89,75,5606,1454,traverse city christian school,TRAVERSE CITY
harbor lights school,Harbor Lights School,89,79,5645,514,harbor high school,WHITE LAKE
cadillac heritage christian school 7th/8th,Cadillac Heritage Christian School 7th/8th,89,79,5681,1333,cadillac heritage christian school,CADILLAC
universal academy 7/8,Detroit Universal Academy 7/8,89,65,5689,1193,universal academy,DETROIT
international academy of flint 6/7/8,International Academy of Flint 6/7/8,89,80,5718,601,international academy of flint k12,FLINT
harbor light christian middle school,Harbor Light Christian MS,89,74,5719,1375,harbor light christian school,HARBOR SPRINGS
marshall academy 7/8,Marshall Academy 7/8,89,78,5764,790,marshall academy,MARSHALL
uniontown high school,Uniontown (PA),89,40,6317,1188,union high school,GRAND RAPIDS
north hills high school,Pittsburgh North Hills (PA),89,42,6318,908,northville high school,NORTHVILLE
bethal park high school,Bethal Park (PA),89,44,6320,532,hazel park high school,HAZEL PARK
sharpsville high school,Sharpsville (PA),89,48,6822,795,marysville high school,MARYSVILLE
university prep academy,Grand Rapids University Prep ,89,69,7422,1200,university yes academy,Detroit
woodson high school,Woodson (DC),89,44,8254,423,fordson high school,DEARBORN
mcdowell high school,Erie McDowell (PA),89,42,9086,574,howell high school,HOWELL
shrine high school,Shrine HS,89,42,9250,1069,saline high school,SALINE
ojibwe charter high school,Brimley Ojibwe Charter,89,56,9353,930,ojibwe charter school,BRIMLEY
milford west highland christian academy,Milford West Highland Christian Academy,89,77,9374,1463,west highland christian academy,MILFORD
washtenaw international middle school,Washtenaw International Middle ,89,73,9415,1241,washtenaw international high school,YPSILANTI
saline washtenaw christian academy,Saline Washtenaw Christian Academy,89,79,9609,1460,washtenaw christian academy,SALINE
east jordan high school,East Jordan,88,46,3843,369,east jordan middlehigh school,East Jordan
homer high school,Homer,88,36,3873,1051,romeo high school,WASHINGTON
niles high school,Niles,88,57,3892,707,lee high school,Wyoming
oscoda high school,Oscoda,88,40,3901,268,cody high school,DETROIT
centreville high school,Centreville,88,53,3915,222,centreville jr sr high school,Centreville
chesaning high school,Chesaning,88,54,3926,239,chesaning union high school,CHESANING
north central high school,Powers North Central,88,51,3946,1004,portage central high school,PORTAGE
cedarville high school,Cedarville,88,67,3961,316,dansville high school,DANSVILLE
utica stevenson high school,Sterling Heights Stevenson,88,69,4030,1127,stevenson high school,LIVONIA
farwell area high school,Farwell,88,46,4064,407,farwell high school,FARWELL
utica eisenhower high school,Utica Eisenhower,88,55,4071,390,eisenhower high school,SHELBY TOWNSHIP
central lake high school,Central Lake,88,67,4227,214,central high school,GRAND RAPIDS
detroit catholic central high school,Detroit Catholic Central,88,69,4239,1340,catholic central high school,NOVI
alba high school,Alba,88,44,4252,39,alpena high school,ALPENA
belding area high school,Belding,88,62,4265,93,belding high school,BELDING
lake linden-hubbell high school,Lake Linden-Hubbell,88,67,4290,678,lake lindenhubbell schools,LAKE LINDEN
saranac high school,Saranac,88,50,4295,1074,saranac jrsr high school,SARANAC
northport high school,Northport,88,50,4324,903,northern high school,GRAND RAPIDS
sparta high school,Sparta,88,46,4368,523,hart high school,HART
brandywine high school,Niles Brandywine,88,56,4375,132,brandon high school,ORTONVILLE
bedford high school,Temperance Bedford,88,50,4382,385,edsel ford high school,DEARBORN
wolverine high school,Wolverine,88,50,4402,1299,wolverine middlehigh school,Wolverine
redford high school,Detroit Redford,88,49,4432,385,edsel ford high school,DEARBORN
