PopularName,SchoolId,Classification,ProperName,NickName,matches
ishpeming middle school,4896,,ishpeming middle school,,"academy for business and technology high school, academy of the americas high school"
engadine jhs,4897,,engadine jhs,,
morley stanwood middle school,4898,,morley stanwood middle school,,"academy for business and technology high school, actech high school"
atherton jhs,4900,,atherton jhs,,"atherton jr sr high school, atherton vern van y educational center"
benzie central middle school,4901,,benzie central middle school,Huskies,"academy for business and technology high school, actech high school"
godwin heights middle school,4902,,godwin heights middle school,,"academy for business and technology high school, actech high school"
jean k harker middle school,4903,,jean k harker middle school,,"academy for business and technology high school, actech high school"
le white middle school,4904,,le white middle school,,"academy for business and technology high school, academy of the americas high school"
chassell middle school,4905,,chassell middle school,,"academy for business and technology high school, academy of the americas high school"
bellevue 7th/8th,4906,,bellevue 7th/8th,,bellevue jrsr high school
flint carman-ainsworth middle school,4907,,carman-ainsworth middle school,,"actech high school, addison high school"
whiteford middle school,4908,,whiteford middle school,,"academy for business and technology high school, academy of the americas high school"
jenison jhs,4909,,jenison jhs,,"jenison high school, jenison international academy"
swartz creek middle school,4910,,swartz creek middle school,,"academy for business and technology high school, alba school"
owosso middle school,4911,,owosso middle school,,"academy for business and technology high school, academy of the americas high school"
grass lake middle school,4912,,grass lake middle school,,"academy for business and technology high school, alba school"
boulan park middle school,4913,,boulan park middle school,,"academy for business and technology high school, alba school"
mar lee middle school,4915,,mar lee middle school,,"academy for business and technology high school, academy of the americas high school"
saginaw phoenix middle school,4916,,phoenix middle school,,"academy for business and technology high school, actech high school"
wilkinson middle school,4917,,wilkinson middle school,,"academy for business and technology high school, academy of the americas high school"
mendon middle school,4918,,mendon middle school,,"mendon middlehigh school, academy for business and technology high school"
franklin middle school,4919,,franklin middle school,,"benjamin franklin middle school, academy for business and technology high school"
marlette jhs,4920,,marlette jhs,,marlette jrsr high school
durand middle school,4921,,durand middle school,,"academy for business and technology high school, academy of the americas high school"
posen jhs,4922,,posen jhs,,posen consolidated high school
tri county middle school,4923,,tri county middle school,,"academy for business and technology high school, alba school"
vestaburg middle school,4924,,vestaburg middle school,,"academy for business and technology high school, academy of the americas high school"
ithaca jhs,4925,,ithaca jhs,,ithaca high school
gaylord middle school,4926,,gaylord middle school,,"academy for business and technology high school, academy of the americas high school"
caseville jhs,4927,,caseville jhs,,caseville school k12
capac jhs,4928,,capac jhs,Chiefs,"capac jrsr high school, capac virtual education program"
thornapple kellogg middle school,4929,,thornapple kellogg middle school,,"thornapple kellogg high school, actech high school"
lake city middle school,4930,,lake city middle school,Trojans,"academy for business and technology high school, academy of the americas high school"
davis jhs,4931,,davis jhs,,davis aerospace technical high school at golightly
litchfield middle school,4932,,litchfield middle school,,"academy for business and technology high school, alba school"
marysville middle school,4933,,marysville middle school,Vikings,"academy for business and technology high school, alba school"
bark river-harris jhs,4934,,bark river-harris jhs,,"bark riverharris jrsr high school, black river public school middlehigh"
allendale middle school,4935,,allendale middle school,,"academy for business and technology high school, academy of the americas high school"
freeland middle school,4936,,freeland middle school,,"freeland middle schoolhigh school, academy for business and technology high school"
oj dejonge ms,4937,,oj dejonge middle school,,
centreville jhs,4938,,centreville jhs,,"centreville adult education, centreville jr sr high school"
adams jhs,4939,,adams jhs,,"lincolnking adams young school grove campus, rochester adams high school"
union city middle school,4940,,union city middle school,,"academy for business and technology high school, alba school"
dunckel middle school,4941,,dunckel middle school,,"academy for business and technology high school, academy of the americas high school"
pinconning middle school,4942,,pinconning middle school,,"academy for business and technology high school, alba school"
anchor bay middle school-north,4945,,anchor bay middle school-north,Tars,"academy for business and technology high school, actech high school"
fairview ms,4946,,fairview middle school,,fairview school
van hoosen middle school,4947,,van hoosen middle school,,"van hoosen middle school, academy for business and technology high school"
harbor springs middle school,4948,,harbor springs middle school,,"academy for business and technology high school, actech high school"
algonac jhs,4949,,algonac jhs,,"algonac alternative education, algonac juniorsenior high school"
carsonville-port sanilac jhs,4950,,carsonville-port sanilac jhs,,carsonvilleport sanilac hs
orchard view middle school,4951,,orchard view middle school,,"academy for business and technology high school, alba school"
central lake middle school,4952,,central lake middle school,,"academy for business and technology high school, alba school"
brethren middle school,4953,,brethren middle school,,"reuther middle school, academy for business and technology high school"
greenville middle school,4954,,greenville middle school,,"academy for business and technology high school, alba school"
south lake middle school,4955,,south lake middle school,,"academy for business and technology high school, alba school"
tn lamb jhs,4956,,tn lamb jhs,,
hanover-horton middle school,4957,,hanover-horton middle school,,"academy for business and technology high school, actech high school"
oakridge middle school,4958,,oakridge middle school,,"oakridge middle school, academy for business and technology high school"
west hills middle school,4959,,west hills middle school,,"west middle school, academy for business and technology high school"
wayland union middle school,4960,,wayland union middle school,,"academy for business and technology high school, actech high school"
crary middle school,4961,,crary middle school,,"academy for business and technology high school, academy of the americas high school"
st johns middle school,4962,,st johns middle school,,"academy for business and technology high school, academy of the americas high school"
whitefish township jhs,4963,,whitefish township jhs,,whitefish township school
western middle school,4964,,western middle school,,"west middle school, academy for business and technology high school"
dundee middle school,4965,,dundee middle school,,"academy for business and technology high school, academy of the americas high school"
aspen ridge middle school,4966,,aspen ridge middle school,,"academy for business and technology high school, alba school"
allen park middle school,4967,,allen park middle school,,"academy for business and technology high school, alba school"
bemis jhs,4968,,bemis jhs,,
sparta middle school,4970,,sparta middle school,,"hart middle school, academy for business and technology high school"
lumen christi 7/8,4971,,lumen christi school 7/8,Titans,"lumen christi catholic school, veritas christi catholic h.s."
buckley jhs,4972,,buckley jhs,,buckley community schools
haslett middle school,4973,,haslett middle school,,"hart middle school, academy for business and technology high school"
goodrich middle school,4974,,goodrich middle school,,"academy for business and technology high school, academy of the americas high school"
donald l pavlik middle school,4975,,donald l pavlik middle school,,"academy for business and technology high school, actech high school"
republic-michigamme middle school,4976,,republic-michigamme middle school,,"actech high school, addison high school"
ow best middle school,4977,,ow best middle school,,"west middle school, academy for business and technology high school"
scripps middle school,4978,,scripps middle school,,"academy for business and technology high school, academy of the americas high school"
arenac eastern middle school,4980,,arenac eastern middle school,,"academy for business and technology high school, actech high school"
alanson middle school,4981,,alanson middle school,,"academy for business and technology high school, academy of the americas high school"
yale jhs,4982,,yale jhs,,yale senior high school
stout middle school,4983,,stout middle school,,"academy for business and technology high school, academy of the americas high school"
reuther middle school,4984,,reuther middle school,,"reuther middle school, academy for business and technology high school"
immac conception middle sch,4985,,immac conception middle sch,,"ca frost environmental science academy middle high school, hart middle school"
maple valley jhs,4986,,maple valley jhs,,"chippewa valley adult and mohegan alt educ, chippewa valley high school"
springfield middle school,4987,,springfield middle school,,"academy for business and technology high school, alba school"
pewamo-westphalia middle school,4988,,pewamo-westphalia middle school,,"pewamowestphalia middlehigh school, academy for business and technology high school"
felch north dickinson jhs,4989,,north dickinson jhs,,
dewitt middle school,4990,,dewitt middle school,,"academy for business and technology high school, academy of the americas high school"
wakefield jhs,4991,,wakefield jhs,,
eppler jhs,4992,,eppler jhs,,
manistee middle school,4993,,manistee middle school,,"manistee middle high school, academy for business and technology high school"
central montcalm middle school,4994,,central montcalm middle school,,"central montcalm middle high school, academy for business and technology high school"
morenci middle school,4995,,morenci middle school,,"morenci middle and high school, academy for business and technology high school"
waldron middle school,4996,,waldron middle school,,"academy for business and technology high school, academy of the americas high school"
holland christian middle school,4997,,holland christian middle school,,"academy for business and technology high school, actech high school"
quincy middle school,4998,,quincy middle school,,"academy for business and technology high school, academy of the americas high school"
comstock park jhs,5000,,comstock park jhs,,"allen park community school, chandler park academy high school"
lawton middle school,5001,,lawton middle school,,"academy for business and technology high school, academy of the americas high school"
dryden jhs,5002,,dryden jhs,,dryden high school
climax-scotts jhs,5003,,climax-scotts jhs,,
schoolcraft middle school,5004,,schoolcraft middle school,,"academy for business and technology high school, alba school"
erie mason middle school,5005,,mason middle school,,"academy for business and technology high school, alba school"
onaway middle school,5006,,onaway middle school,,"academy for business and technology high school, academy of the americas high school"
north huron middle school,5007,,north huron middle school,,"north huron school, academy for business and technology high school"
mesick jhs,5008,,mesick jhs,,mesick consolidated jrsr high school
mackinaw city middle school,5009,,mackinaw city middle school,,"academy for business and technology high school, actech high school"
kinawa middle school,5010,,kinawa middle school,,"academy for business and technology high school, academy of the americas high school"
brimley middle school,5011,,brimley middle school,,"academy for business and technology high school, academy of the americas high school"
lowell middle school,5012,,lowell middle school,,"academy for business and technology high school, academy of the americas high school"
colon jhs,5013,,colon jhs,Magi,colon high school
cedarville middle school,5014,,cedarville middle school,,"cedarville school, academy for business and technology high school"
harbor beach middle school,5015,,harbor beach middle school,,"academy for business and technology high school, alba school"
camden-frontier middle school,5016,,camden-frontier middle school,,"academy for business and technology high school, actech high school"
port huron st joseph jhs,5017,,st joseph jhs,,"lake huron virtual hybrid high school, st charles community middlehigh school"
kingsley middle school,5018,,kingsley middle school,Stags,"academy for business and technology high school, academy of the americas high school"
boyne falls middle school,5019,,boyne falls middle school,,"academy for business and technology high school, alba school"
ruth fox middle school,5021,,ruth fox middle school,,"academy for business and technology high school, academy of the americas high school"
beagle middle school,5022,,beagle middle school,,"academy for business and technology high school, academy of the americas high school"
mio ausable middle school,5023,,mio ausable middle school,,"academy for business and technology high school, alba school"
stephenson middle school,5024,,stephenson middle school,,"academy for business and technology high school, alba school"
bryant middle school,5025,,bryant middle school,,"academy for business and technology high school, academy of the americas high school"
waverly middle school,5026,,waverly middle school,,"academy for business and technology high school, academy of the americas high school"
southfield crescent,5027,,crescent academy,,"southfield high school for the arts and technology, southfield regional academic campus"
pickford middle school,5028,,pickford middle school,,"academy for business and technology high school, academy of the americas high school"
calumet washington middle school,5029,,washington middle school,,"actech high school, addison high school"
ravenna middle school,5030,,ravenna middle school,,"academy for business and technology high school, academy of the americas high school"
jeannette jhs,5031,,jeannette jhs,,
st clair middle school,5032,,st clair middle school,,"academy for business and technology high school, academy of the americas high school"
champion middle school,5033,,champion middle school,,"hamilton middle school, academy for business and technology high school"
holly middle school,5034,,holly middle school,,"academy for business and technology high school, academy of the americas high school"
norup international school,5035,,norup international school,,"academy for business and technology high school, alba school"
wagar middle school,5036,,wagar 7/8 middle school,,"academy for business and technology high school, academy of the americas high school"
highlander way middle school,5037,,highlander way middle school,,"academy for business and technology high school, actech high school"
holy rosary school,5038,,holy rosary school,,"academy for business and technology high school, academy of the americas high school"
muskegon middle school,5039,,muskegon middle school,,"academy for business and technology high school, academy of the americas high school"
muskegon catholic central middle school,5040,,muskegon catholic central middle school,,"muskegon catholic central, actech high school"
northwest kidder middle school,5041,,northwest kidder middle school,,"academy for business and technology high school, actech high school"
newaygo middle school,5042,,newaygo middle school,,"academy for business and technology high school, academy of the americas high school"
grand blanc middle school,5043,,grand blanc middle school,,"academy for business and technology high school, alba school"
ida middle school,5044,,ida middle school,,"academy for business and technology high school, academy of the americas high school"
gladstone middle school,5045,,gladstone middle school,,"academy for business and technology high school, academy of the americas high school"
lakeview middle school,5046,,lakeview middle school,,"academy for business and technology high school, academy of the americas high school"
woodworth middle school,5047,,woodworth middle school,,"academy for business and technology high school, academy of the americas high school"
carney-nadeau ms,5048,,carney-nadeau middle school,,
reading owens jhs,5049,,owens jhs,,
hamilton middle school,5050,,hamilton middle school,,"hamilton middle school, academy for business and technology high school"
mayville middle school,5051,,mayville middle school,,"mayville middle high school, academy for business and technology high school"
three rivers middle school,5052,,three rivers middle school,,"academy for business and technology high school, alba school"
oscoda middle school ,5053,,oscoda middle school ,,"academy for business and technology high school, academy of the americas high school"
ovid-elsie middle school,5054,,ovid-elsie middle school,,"academy for business and technology high school, alba school"
st clair st mary jhs,5055,,st mary jhs,,"st charles community middlehigh school, st clair county intervention academy"
coopersville middle school,5056,,coopersville middle school,,"academy for business and technology high school, alba school"
parcells middle school,5058,,parcells middle school,,"academy for business and technology high school, academy of the americas high school"
flushing middle school,5059,,flushing middle school,,"academy for business and technology high school, academy of the americas high school"
harrison park,5060,,harrison park,,"allen park community school, allen park high school"
holt jhs,5061,,holt jhs,,holt senior high school
carson city-crystal middle school,5063,,carson city-crystal middle school,,"actech high school, addison high school"
northport ms,5064,,northport middle school,Wildcats,northport public school
cheboygan middle school,5065,,cheboygan middle school,,"cheboygan middle school, academy for business and technology high school"
bear lake middle school,5066,,bear lake middle school,,"academy for business and technology high school, academy of the americas high school"
zeeland creekside middle school,5067,,creekside middle school,,"academy for business and technology high school, actech high school"
genesee jhs,5068,,genesee jhs,,"genesee career institute, genesee county jail"
ol smith middle school,5069,,ol smith middle school,,"academy for business and technology high school, academy of the americas high school"
unionville-sebewaing middle school,5070,,unionville-sebewaing middle school,,"actech high school, addison high school"
tecumseh middle school,5071,,tecumseh middle school,,"academy for business and technology high school, academy of the americas high school"
st robert,5072,,st robert,,"link learning st louis, st charles community middlehigh school"
watervliet middle school,5073,,watervliet middle school,,"academy for business and technology high school, alba school"
galesburg-augusta middle school,5074,,galesburg-augusta middle school,,"academy for business and technology high school, actech high school"
millennium middle school,5075,,millennium middle school,,"academy for business and technology high school, alba school"
saugatuck middle school,5076,,saugatuck middle school,Trailblazers,"academy for business and technology high school, academy of the americas high school"
gobles middle school,5077,,gobles middle school,,"academy for business and technology high school, academy of the americas high school"
cedar springs middle school,5078,,cedar springs middle school,,"academy for business and technology high school, actech high school"
pennfield middle school,5079,,pennfield middle school,,"academy for business and technology high school, academy of the americas high school"
columbia central jhs,5080,,columbia central jhs,,"battle creek central high school, central michigan correctional facility"
hancock middle school,5081,,hancock middle school,,"hancock middlehigh school, academy for business and technology high school"
lakeshore middle school,5082,,lakeshore middle school,,"academy for business and technology high school, academy of the americas high school"
armada middle school,5083,,armada middle school,,"academy for business and technology high school, academy of the americas high school"
akron-fairgrove jhs,5084,,akron-fairgrove jhs,,akronfairgrove jrsr high school
bad axe jhs,5085,,bad axe jhs,,bad axe high school
manistique area schools,5086,,manistique area schools,,"allegan county area technical and education center, charlotte public schools project success"
new haven middle school,5087,,new haven middle school,,"academy for business and technology high school, academy of the americas high school"
st louis nurnberger middle school,5088,,nurnberger middle school,,"actech high school, addison high school"
montrose kuehn-haven middle school,5090,,montrose kuehn-haven middle school,,"actech high school, addison high school"
holton middle school,5091,,holton middle school,,"hamilton middle school, academy for business and technology high school"
portland middle school,5092,,portland middle school,,"academy for business and technology high school, academy of the americas high school"
coleman jhs,5093,,coleman jhs,,coleman juniorsenior high school
addison middle school,5094,,addison middle school,,"academy for business and technology high school, academy of the americas high school"
cass city jhs,5095,,cass city jhs,,"bay city academy farragut campus, bay city adult educationctp"
mt morris middle school,5096,,mt morris middle school,,"academy for business and technology high school, academy of the americas high school"
laker jhs,5097,,laker jhs,,laker high school
stockbridge jhs,5098,,stockbridge jhs,,stockbridge jrsr high school
sand creek jhs,5099,,sand creek jhs,,"battle creek area learning center, battle creek central high school"
richland gull lake middle school,5100,,gull lake middle school,,"actech high school, addison high school"
addams middle school,5101,,addams middle school,,"academy for business and technology high school, academy of the americas high school"
port hope jhs,5102,,port hope jhs,,"hope academic academy, hope academy of west michigan"
page middle school,5103,,page middle school,,"academy for business and technology high school, academy of the americas high school"
brownell middle school,5104,,brownell middle school,,"academy for business and technology high school, academy of the americas high school"
midland northeast middle school,5105,,northeast middle school,,"academy for business and technology high school, actech high school"
fair plain ms,5106,,fair plain middle school,,
mccord renaissance middle school,5107,,mccord renaissance middle school,,"actech high school, addison high school"
rittmueller middle school,5108,,rittmueller middle school,,"academy for business and technology high school, alba school"
sashabaw middle school,5109,,sashabaw middle school,,"academy for business and technology high school, academy of the americas high school"
surline middle school,5110,,surline middle school,,"academy for business and technology high school, academy of the americas high school"
owendale-gagetown jhs,5111,,owendale-gagetown jhs,,owendalegagetown jrsr high school
breckenridge middle school,5112,,breckenridge middle school,,"academy for business and technology high school, alba school"
fruitport middle school,5113,,fruitport middle school,,"academy for business and technology high school, academy of the americas high school"
onsted middle school,5114,,onsted middle school,,"academy for business and technology high school, academy of the americas high school"
beach ms,5115,,beach middle school,,harbor beach community high school
edwardsburg middle school,5116,,edwardsburg middle school,Eddies,"academy for business and technology high school, alba school"
alba middle school,5117,,alba middle school,,"academy for business and technology high school, academy of the americas high school"
hillman jhs,5118,,hillman jhs,,hillman community jrsr high school
hayes middle school,5119,,hayes middle school,,"academy for business and technology high school, academy of the americas high school"
slauson jhs,5120,,slauson jhs,,
newhall middle school,5121,,newhall middle school,,"academy for business and technology high school, academy of the americas high school"
garden city middle school,5122,,garden city middle school,,"academy for business and technology high school, alba school"
salina intermediate school,5123,,salina intermediate school,,"academy for business and technology high school, alba school"
eastland ms,5124,,eastland middle school,,
shelby jhs,5125,,shelby jhs,,shelby high school
holland west k-7,5126,,holland west k-7,,"academy west alternative education, david ellis academy west"
fennville middle school,5127,,fennville middle school,,"academy for business and technology high school, academy of the americas high school"
seitz middle school,5128,,seitz middle school,,"academy for business and technology high school, academy of the americas high school"
saginaw north middle school,5129,,north middle school,,"academy for business and technology high school, actech high school"
traverse city west middle school,5130,,traverse city west middle school,,"west middle school, actech high school"
ionia middle school,5132,,ionia middle school,Bulldogs,"academy for business and technology high school, academy of the americas high school"
new buffalo middle school,5133,,new buffalo middle school,,"academy for business and technology high school, alba school"
bellaire middle school,5134,,bellaire middle school,,"bellaire middlehigh school, academy for business and technology high school"
sandusky jhs,5136,,sandusky jhs,,sandusky juniorsenior high school
greenhills jhs,5137,,greenhills jhs,,
east grand rapids middle school,5138,,east grand rapids middle school,,"east grand rapids high school, academy for business and technology high school"
wk kellogg jhs,5139,,wk kellogg jhs,,"thornapple kellogg high school, wk kellogg preparatory high school"
milwood magnet school,5140,,"milwood magnet school: a center for math, science & technology",,"academy for business and technology high school, academy of the americas high school"
riley middle school,5141,,riley middle school,,"academy for business and technology high school, academy of the americas high school"
decatur middle school,5142,,decatur middle school,,"academy for business and technology high school, academy of the americas high school"
charlotte middle school,5143,,charlotte middle school,,"hart middle school, academy for business and technology high school"
warner middle school,5144,,warner middle school,,"academy for business and technology high school, academy of the americas high school"
reed middle school,5145,,reed middle school,,"reuther middle school, academy for business and technology high school"
tappan middle school,5146,,tappan middle school,,"academy for business and technology high school, academy of the americas high school"
hamtramck kosciuszko middle school,5147,,kosciuszko middle school,Cougars,"actech high school, addison high school"
portage west middle school,5149,,portage west middle school,,"west middle school, academy for business and technology high school"
marenisco jhs,5150,,marenisco jhs,,
whittemore-prescott jhs,5151,,whittemore-prescott jhs,,whittemoreprescott jrsr high school
laingsburg middle school,5152,,laingsburg middle school,,"academy for business and technology high school, alba school"
kalkaska middle school,5153,,kalkaska middle school,,"academy for business and technology high school, academy of the americas high school"
portage central middle school,5154,,portage central middle school,,"academy for business and technology high school, actech high school"
augres-sims middle school,5155,,augres-sims middle school,,"academy for business and technology high school, alba school"
paw paw middle school,5156,,paw paw middle school,,"academy for business and technology high school, academy of the americas high school"
meachum jhs,5157,,meachum jhs,,
east jackson middle school,5158,,east jackson middle school,,"academy for business and technology high school, alba school"
scranton middle school,5159,,scranton middle school,,"academy for business and technology high school, academy of the americas high school"
grand haven white pines middle school,5160,,white pines middle school,,"actech high school, addison high school"
chesaning middle school,5161,,chesaning middle school,,"academy for business and technology high school, academy of the americas high school"
cantrick middle school,5162,,cantrick middle school,,"academy for business and technology high school, academy of the americas high school"
l'anse creuse middle sch north,5164,,l'anse creuse middle sch north,,"ca frost environmental science academy middle high school, hart middle school"
west maple middle school,5165,,west maple middle school,,"west middle school, academy for business and technology high school"
inland lakes jhs,5166,,inland lakes jhs,,"great lakes bay early college, great lakes learning academy mshs"
pittsford middle school,5167,,pittsford middle school,,"academy for business and technology high school, academy of the americas high school"
leslie middle school,5168,,leslie middle school,Blackhawks,"academy for business and technology high school, academy of the americas high school"
derby middle school,5169,,derby middle school,,"academy for business and technology high school, academy of the americas high school"
crestwood middle school,5170,,crestwood middle school,,"academy for business and technology high school, academy of the americas high school"
kalamazoo hillside middle school,5171,,hillside middle school,,"actech high school, addison high school"
liberty middle school,5172,,liberty middle school,,"academy for business and technology high school, academy of the americas high school"
east jordan middle school,5173,,east jordan middle school,Red Devils,"east jordan middlehigh school, academy for business and technology high school"
deerfield middle school,5174,,deerfield middle school,,"academy for business and technology high school, academy of the americas high school"
bloomingdale middle school,5175,,bloomingdale middle school,,"bloomingdale middle and high school, academy for business and technology high school"
springbrook middle school ,5176,,springbrook middle school ,,"academy for business and technology high school, alba school"
renton jhs,5177,,renton jhs,,
keller middle school,5179,,keller middle school,,"academy for business and technology high school, academy of the americas high school"
lee middle school,5180,,lee middle school,,"academy for business and technology high school, academy of the americas high school"
battle creek lakeview middle school,5181,,lakeview middle school,,"actech high school, addison high school"
birmingham covington school,5182,,birmingham covington school,,"academy for business and technology high school, actech high school"
oakwood middle school,5183,,oakwood middle school,,"academy for business and technology high school, academy of the americas high school"
forest hills northern hills middle school,5184,,forest hills northern hills middle school,,"actech high school, addison high school"
best middle school,5185,,best middle school,,"west middle school, academy for business and technology high school"
summerfield jhs,5186,,summerfield jhs,,summerfield juniorsenior high school
chippewa hills intermediate school,5188,,chippewa hills intermediate school,,"actech high school, addison high school"
churchill jhs,5189,,churchill jhs,,"churchill community ed center, churchill high school"
swan valley middle school,5190,,swan valley middle school,,"academy for business and technology high school, alba school"
fuhrmann middle school,5191,,fuhrmann middle school,,"academy for business and technology high school, academy of the americas high school"
iroquois middle school,5192,,iroquois middle school,,"academy for business and technology high school, academy of the americas high school"
beer middle school,5193,,beer middle school,,"reuther middle school, academy for business and technology high school"
kenowa hills middle school,5195,,kenowa hills middle school,,"academy for business and technology high school, alba school"
wolverine middle school,5196,,wolverine middle school,,"wolverine middlehigh school, academy for business and technology high school"
white pigeon jhs,5197,,white pigeon jhs,,"white lake area community education, white pigeon jrsr high school"
vassar middle school,5198,,vassar middle school,,"academy for business and technology high school, academy of the americas high school"
meridian jhs,5199,,meridian jhs,,meridian early college high school
saginaw webber middle school,5200,,webber middle school,,"academy for business and technology high school, actech high school"
white pine middle school,5201,,white pine middle school,,"academy for business and technology high school, alba school"
romeo middle school,5202,,romeo middle school,,"academy for business and technology high school, academy of the americas high school"
north rockford middle school,5203,,north rockford middle school,,"academy for business and technology high school, actech high school"
reese middle school,5204,,reese middle school,,"academy for business and technology high school, academy of the americas high school"
portage north middle school,5205,,portage north middle school,,"academy for business and technology high school, actech high school"
pioneer middle school,5206,,pioneer middle school,,"academy for business and technology high school, academy of the americas high school"
brandon middle school,5207,,brandon middle school,,"academy for business and technology high school, academy of the americas high school"
bunker middle school,5208,,bunker middle school,,"academy for business and technology high school, academy of the americas high school"
nelson jhs,5209,,nelson jhs,,
delton-kellogg middle school,5210,,delton-kellogg middle school,,"academy for business and technology high school, actech high school"
constantine middle school,5211,,constantine middle school,,"academy for business and technology high school, alba school"
grandville middle school,5212,,grandville middle school,Bulldogs,"academy for business and technology high school, alba school"
iroquois jhs,5213,,iroquois jhs,,
northview crossroads middle school,5214,,northview crossroads middle school,,"actech high school, addison high school"
shumate middle school,5215,,shumate middle school,,"hart middle school, academy for business and technology high school"
andrew g schmidt middle school,5216,,andrew g schmidt middle school,,"academy for business and technology high school, actech high school"
power middle school,5217,,power middle school,,"academy for business and technology high school, academy of the americas high school"
manchester jhs,5218,,manchester jhs,,manchester juniorsenior high school
clarenceville middle school,5219,,clarenceville middle school,,"academy for business and technology high school, actech high school"
grand rapids g r ford,5220,,g r ford middle school,,"covenant house academy grand rapids, grand blanc community high school"
grand rapids martin luther king academy,5221,,martin luther king jr academy,,"54th street academy, academy 21"
grattan academic ms,5222,,grattan academic ms,,"academic and career education academy, flat rock academic virtual academy 612"
drager middle school,5223,,drager middle school,,"academy for business and technology high school, academy of the americas high school"
grand rapids alger middle school,5224,,alger middle school,,"actech high school, addison high school"
st francis of assisi school,5225,,st francis of assisi school,,"academy for business and technology high school, academy of science math and technology early college high sc"
east hills middle school,5226,,east hills middle school,,"academy for business and technology high school, alba school"
blissfield middle school,5227,,blissfield middle school,,"academy for business and technology high school, alba school"
baraga jhs,5228,,baraga jhs,,baraga maximum correctional facility
thunder bay jhs,5229,,thunder bay jhs,,"bay city academy farragut campus, bay city adult educationctp"
algonquin middle school,5230,,algonquin middle school,,"academy for business and technology high school, academy of the americas high school"
bullock creek middle school,5231,,bullock creek middle school,,"academy for business and technology high school, actech high school"
menominee jhs,5232,,menominee jhs,,"link learning menominee, menominee high school"
whitmore lake middle school,5233,,whitmore lake middle school,,"academy for business and technology high school, actech high school"
bronson jhs,5234,,bronson jhs,,bronson jrsr high school
clarkston jhs,5235,,clarkston jhs,,"clarkston high school, clarkston junior high school"
carleton middle school,5236,,carleton middle school,,"academy for business and technology high school, academy of the americas high school"
meads mill middle school,5237,,meads mill middle school,,"academy for business and technology high school, alba school"
lowrey middle school,5238,,lowrey middle school,,"academy for business and technology high school, academy of the americas high school"
bath middle school,5239,,bath middle school,,"hart middle school, academy for business and technology high school"
legg middle school,5240,,legg middle school,,"academy for business and technology high school, academy of the americas high school"
caro middle school,5241,,caro middle school,,"hart middle school, academy for business and technology high school"
mckinley communication arts academy,5242,,mckinley communication arts academy,,"54th street academy, academy 21"
glen lake middle school,5243,,glen lake middle school,Lakers,"academy for business and technology high school, academy of the americas high school"
westland marshall middle school,5244,,marshall middle school,,"academy for business and technology high school, actech high school"
memphis jhs,5245,,memphis jhs,,memphis juniorsenior high school
roscommon middle school,5246,,roscommon middle school,,"academy for business and technology high school, academy of the americas high school"
baseline middle school,5247,,baseline middle school,,"academy for business and technology high school, academy of the americas high school"
cherryland middle school,5249,,cherryland middle school,,"academy for business and technology high school, alba school"
middle school at parkside,5250,,middle school at parkside,,"academy for business and technology high school, alba school"
merrill middle school,5251,,merrill middle school,,"academy for business and technology high school, academy of the americas high school"
chatterton middle school,5252,,chatterton middle school,,"academy for business and technology high school, alba school"
holy redeemer school,5253,,holy redeemer school,,"academy for business and technology high school, academy of the americas high school"
sterling heights st paul lutheran jhs,5254,,st paul lutheran jhs,,"link learning st louis, muskegon heights academy"
pathfinder school,5255,,pathfinder school,,"academy for business and technology high school, academy of the americas high school"
st pius x catholic school,5256,,st pius x catholic school,,"academy for business and technology high school, alba school"
webberville middle school,5258,,webberville middle school,,"academy for business and technology high school, alba school"
fort gratiot middle school,5260,,fort gratiot middle school,,"academy for business and technology high school, alba school"
st john the evangelist,5261,,st john the evangelist,,"academy of the americas high school, charlevoix montessori academy for the arts"
sam adams middle school,5262,,sam adams middle school,,"academy for business and technology high school, academy of the americas high school"
eau claire middle school,5263,,eau claire middle school,,"academy for business and technology high school, alba school"
fulton middle school,5264,,fulton middle school,,"academy for business and technology high school, academy of the americas high school"
maples jhs,5265,,maples jhs,,
albion middle school,5266,,albion middle school,,"academy for business and technology high school, academy of the americas high school"
mc pherson middle school,5268,,mc pherson middle school,,"academy for business and technology high school, alba school"
lincoln park middle school,5269,,lincoln park middle school,,"academy for business and technology high school, alba school"
strong middle school,5270,,strong middle school,,"academy for business and technology high school, academy of the americas high school"
napoleon middle school,5271,,napoleon middle school,,"academy for business and technology high school, academy of the americas high school"
rose city middle school,5272,,rose city middle school,,"academy for business and technology high school, academy of the americas high school"
kennedy jhs,5273,,kennedy jhs,,kennedy learning center
willow run intermediate,5274,,willow run intermediate learning ctr,,
fremont middle school,5275,,fremont middle school,,"academy for business and technology high school, academy of the americas high school"
conner creek academy (jhs) west,5276,,conner creek academy west,,"54th street academy, academy 21"
riverside academy-west,5277,,riverside academy-west,,"riverside academy, riverside academy west campus"
trillium academy 6/7/8,5278,,trillium academy 6/7/8,,"trillium academy, academic and career education academy"
romulus middle school,5279,,romulus middle school,,"academy for business and technology high school, academy of the americas high school"
st mary's assumption school,5280,,st mary's assumption school,,"academy for business and technology high school, actech high school"
west shore christian jhs,5281,,west shore christian jhs,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west"
washington intermediate school,5282,,washington intermediate school,,"academy for business and technology high school, actech high school"
