MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
algonac jhs,4949,,Algonac JHS,,"algonac alternative education, algonac juniorsenior high school",
carsonville-port sanilac jhs,4950,,Carsonville-Port Sanilac JHS,,carsonvilleport sanilac hs,
orchard view middle school,4951,,Orchard View Middle School,,"academy for business and technology high school, alba school",
central lake middle school,4952,,Central Lake Middle School,,"academy for business and technology high school, alba school",
brethren middle school,4953,,Brethren Middle School,,"reuther middle school, academy for business and technology high school",
greenville middle school,4954,,Greenville Middle School,,"academy for business and technology high school, alba school",
south lake middle school,4955,,South Lake Middle School,,"academy for business and technology high school, alba school",
tn lamb jhs,4956,,TN Lamb JHS,,,
hanover-horton middle school,4957,,Hanover-Horton Middle School,,"academy for business and technology high school, actech high school",
oakridge middle school,4958,,Oakridge Middle School,,"oakridge middle school, academy for business and technology high school",
west hills middle school,4959,,West Hills Middle School,,"west middle school, academy for business and technology high school",
wayland union middle school,4960,,Wayland Union Middle School,,"academy for business and technology high school, actech high school",
crary middle school,4961,,Crary Middle School,,"academy for business and technology high school, academy of the americas high school",
st johns middle school,4962,,St Johns Middle School,,"academy for business and technology high school, academy of the americas high school",
whitefish township jhs,4963,,Whitefish Township JHS,,whitefish township school,
western middle school,4964,,Western Middle School,,"west middle school, academy for business and technology high school",
dundee middle school,4965,,Dundee Middle School,,"academy for business and technology high school, academy of the americas high school",
aspen ridge middle school,4966,,Aspen Ridge Middle School,,"academy for business and technology high school, alba school",
allen park middle school,4967,,Allen Park Middle School,,"academy for business and technology high school, alba school",
bemis jhs,4968,,Bemis JHS,,,
sparta middle school,4970,,Sparta Middle School,,"hart middle school, academy for business and technology high school",
lumen christi 7/8,4971,,Lumen Christi School 7/8,Titans,"lumen christi catholic school, veritas christi catholic h.s.",
buckley jhs,4972,,Buckley JHS,,buckley community schools,
haslett middle school,4973,,Haslett Middle School,,"hart middle school, academy for business and technology high school",
goodrich middle school,4974,,Goodrich Middle School,,"academy for business and technology high school, academy of the americas high school",
donald l pavlik middle school,4975,,Donald L Pavlik Middle School,,"academy for business and technology high school, actech high school",
republic-michigamme middle school,4976,,Republic-Michigamme Middle School,,"actech high school, addison high school",
ow best middle school,4977,,OW Best Middle School,,"west middle school, academy for business and technology high school",
scripps middle school,4978,,Scripps Middle School,,"academy for business and technology high school, academy of the americas high school",
arenac eastern middle school,4980,,Arenac Eastern Middle School,,"academy for business and technology high school, actech high school",
alanson middle school,4981,,Alanson Middle School,,"academy for business and technology high school, academy of the americas high school",
yale jhs,4982,,Yale JHS,,yale senior high school,
stout middle school,4983,,Stout Middle School,,"academy for business and technology high school, academy of the americas high school",
reuther middle school,4984,,Reuther Middle School,,"reuther middle school, academy for business and technology high school",
immac conception middle sch,4985,,Immac Conception Middle Sch,,"ca frost environmental science academy middle high school, hart middle school",
maple valley jhs,4986,,Maple Valley JHS,,"chippewa valley adult and mohegan alt educ, chippewa valley high school",
springfield middle school,4987,,Springfield Middle School,,"academy for business and technology high school, alba school",
pewamo-westphalia middle school,4988,,Pewamo-Westphalia Middle School,,"pewamowestphalia middlehigh school, academy for business and technology high school",
felch north dickinson jhs,4989,,North Dickinson JHS,,,
dewitt middle school,4990,,DeWitt Middle School,,"academy for business and technology high school, academy of the americas high school",
wakefield jhs,4991,,Wakefield JHS,,,
eppler jhs,4992,,Eppler JHS,,,
manistee middle school,4993,,Manistee Middle School,,"manistee middle high school, academy for business and technology high school",
central montcalm middle school,4994,,Central Montcalm Middle School,,"central montcalm middle high school, academy for business and technology high school",
morenci middle school,4995,,Morenci Middle School,,"morenci middle and high school, academy for business and technology high school",
waldron middle school,4996,,Waldron Middle School,,"academy for business and technology high school, academy of the americas high school",
holland christian middle school,4997,,Holland Christian Middle School,,"academy for business and technology high school, actech high school",
quincy middle school,4998,,Quincy Middle School,,"academy for business and technology high school, academy of the americas high school",
comstock park jhs,5000,,Comstock Park JHS,,"allen park community school, chandler park academy high school",
lawton middle school,5001,,Lawton Middle School,,"academy for business and technology high school, academy of the americas high school",
dryden jhs,5002,,Dryden JHS,,dryden high school,
climax-scotts jhs,5003,,Climax-Scotts JHS,,,
schoolcraft middle school,5004,,Schoolcraft Middle School,,"academy for business and technology high school, alba school",
erie mason middle school,5005,,Mason Middle School,,"academy for business and technology high school, alba school",
onaway middle school,5006,,Onaway Middle School,,"academy for business and technology high school, academy of the americas high school",
north huron middle school,5007,,North Huron Middle School,,"north huron school, academy for business and technology high school",
mesick jhs,5008,,Mesick JHS,,mesick consolidated jrsr high school,
mackinaw city middle school,5009,,Mackinaw City Middle School,,"academy for business and technology high school, actech high school",
kinawa middle school,5010,,Kinawa Middle School,,"academy for business and technology high school, academy of the americas high school",
brimley middle school,5011,,Brimley Middle School,,"academy for business and technology high school, academy of the americas high school",
lowell middle school,5012,,Lowell Middle School,,"academy for business and technology high school, academy of the americas high school",
colon jhs,5013,,Colon JHS,Magi,colon high school,
cedarville middle school,5014,,Cedarville Middle School,,"cedarville school, academy for business and technology high school",
harbor beach middle school,5015,,Harbor Beach Middle School,,"academy for business and technology high school, alba school",
camden-frontier middle school,5016,,Camden-Frontier Middle School,,"academy for business and technology high school, actech high school",
port huron st joseph jhs,5017,,St Joseph JHS,,"lake huron virtual hybrid high school, st charles community middlehigh school",
kingsley middle school,5018,,Kingsley Middle School,Stags,"academy for business and technology high school, academy of the americas high school",
boyne falls middle school,5019,,Boyne Falls Middle School,,"academy for business and technology high school, alba school",
ruth fox middle school,5021,,Ruth Fox Middle School,,"academy for business and technology high school, academy of the americas high school",
beagle middle school,5022,,Beagle Middle School,,"academy for business and technology high school, academy of the americas high school",
mio ausable middle school,5023,,Mio Ausable Middle School,,"academy for business and technology high school, alba school",
stephenson middle school,5024,,Stephenson Middle School,,"academy for business and technology high school, alba school",
bryant middle school,5025,,Bryant Middle School,,"academy for business and technology high school, academy of the americas high school",
waverly middle school,5026,,Waverly Middle School,,"academy for business and technology high school, academy of the americas high school",
southfield crescent,5027,,Crescent Academy,,"southfield high school for the arts and technology, southfield regional academic campus",
pickford middle school,5028,,Pickford Middle School,,"academy for business and technology high school, academy of the americas high school",
calumet washington middle school,5029,,Washington Middle School,,"actech high school, addison high school",
ravenna middle school,5030,,Ravenna Middle School,,"academy for business and technology high school, academy of the americas high school",
jeannette jhs,5031,,Jeannette JHS,,,
st clair middle school,5032,,St Clair Middle School,,"academy for business and technology high school, academy of the americas high school",
champion middle school,5033,,Champion Middle School,,"hamilton middle school, academy for business and technology high school",
holly middle school,5034,,Holly Middle School,,"academy for business and technology high school, academy of the americas high school",
norup international school,5035,,Norup International School,,"academy for business and technology high school, alba school",
wagar middle school,5036,,Wagar 7/8 Middle School,,"academy for business and technology high school, academy of the americas high school",
highlander way middle school,5037,,Highlander Way Middle School,,"academy for business and technology high school, actech high school",
holy rosary school,5038,,Holy Rosary School,,"academy for business and technology high school, academy of the americas high school",
muskegon middle school,5039,,Muskegon Middle School,,"academy for business and technology high school, academy of the americas high school",
muskegon catholic central middle school,5040,,Muskegon Catholic Central Middle School,,"muskegon catholic central, actech high school",
northwest kidder middle school,5041,,Northwest Kidder Middle School,,"academy for business and technology high school, actech high school",
newaygo middle school,5042,,Newaygo Middle School,,"academy for business and technology high school, academy of the americas high school",
grand blanc middle school,5043,,Grand Blanc Middle School,,"academy for business and technology high school, alba school",
ida middle school,5044,,Ida Middle School,,"academy for business and technology high school, academy of the americas high school",
gladstone middle school,5045,,Gladstone Middle School,,"academy for business and technology high school, academy of the americas high school",
lakeview middle school,5046,,Lakeview Middle School,,"academy for business and technology high school, academy of the americas high school",
woodworth middle school,5047,,Woodworth Middle School,,"academy for business and technology high school, academy of the americas high school",
carney-nadeau ms,5048,,Carney-Nadeau Middle School,,,
reading owens jhs,5049,,Owens JHS,,,
hamilton middle school,5050,,Hamilton Middle School,,"hamilton middle school, academy for business and technology high school",
mayville middle school,5051,,Mayville Middle School,,"mayville middle high school, academy for business and technology high school",
three rivers middle school,5052,,Three Rivers Middle School,,"academy for business and technology high school, alba school",
oscoda middle school ,5053,,Oscoda Middle School ,,"academy for business and technology high school, academy of the americas high school",
ovid-elsie middle school,5054,,Ovid-Elsie Middle School,,"academy for business and technology high school, alba school",
st clair st mary jhs,5055,,St Mary JHS,,"st charles community middlehigh school, st clair county intervention academy",
coopersville middle school,5056,,Coopersville Middle School,,"academy for business and technology high school, alba school",
parcells middle school,5058,,Parcells Middle School,,"academy for business and technology high school, academy of the americas high school",
flushing middle school,5059,,Flushing Middle School,,"academy for business and technology high school, academy of the americas high school",
harrison park,5060,,Harrison Park,,"allen park community school, allen park high school",
holt jhs,5061,,Holt JHS,,holt senior high school,
carson city-crystal middle school,5063,,Carson City-Crystal Middle School,,"actech high school, addison high school",
northport ms,5064,,Northport Middle School,Wildcats,northport public school,
cheboygan middle school,5065,,Cheboygan Middle School,,"cheboygan middle school, academy for business and technology high school",
bear lake middle school,5066,,Bear Lake Middle School,,"academy for business and technology high school, academy of the americas high school",
zeeland creekside middle school,5067,,Creekside Middle School,,"academy for business and technology high school, actech high school",
genesee jhs,5068,,Genesee JHS,,"genesee career institute, genesee county jail",
ol smith middle school,5069,,OL Smith Middle School,,"academy for business and technology high school, academy of the americas high school",
unionville-sebewaing middle school,5070,,Unionville-Sebewaing Middle School,,"actech high school, addison high school",
tecumseh middle school,5071,,Tecumseh Middle School,,"academy for business and technology high school, academy of the americas high school",
st robert,5072,,St Robert,,"link learning st louis, st charles community middlehigh school",
watervliet middle school,5073,,Watervliet Middle School,,"academy for business and technology high school, alba school",
galesburg-augusta middle school,5074,,Galesburg-Augusta Middle School,,"academy for business and technology high school, actech high school",
millennium middle school,5075,,Millennium Middle School,,"academy for business and technology high school, alba school",
saugatuck middle school,5076,,Saugatuck Middle School,Trailblazers,"academy for business and technology high school, academy of the americas high school",
gobles middle school,5077,,Gobles Middle School,,"academy for business and technology high school, academy of the americas high school",
cedar springs middle school,5078,,Cedar Springs Middle School,,"academy for business and technology high school, actech high school",
pennfield middle school,5079,,Pennfield Middle School,,"academy for business and technology high school, academy of the americas high school",
columbia central jhs,5080,,Columbia Central JHS,,"battle creek central high school, central michigan correctional facility",
hancock middle school,5081,,Hancock Middle School,,"hancock middlehigh school, academy for business and technology high school",
lakeshore middle school,5082,,Lakeshore Middle School,,"academy for business and technology high school, academy of the americas high school",
armada middle school,5083,,Armada Middle School,,"academy for business and technology high school, academy of the americas high school",
akron-fairgrove jhs,5084,,Akron-Fairgrove JHS,,akronfairgrove jrsr high school,
bad axe jhs,5085,,Bad Axe JHS,,bad axe high school,
manistique area schools,5086,,Manistique Area Schools,,"allegan county area technical and education center, charlotte public schools project success",
new haven middle school,5087,,New Haven Middle School,,"academy for business and technology high school, academy of the americas high school",
st louis nurnberger middle school,5088,,Nurnberger Middle School,,"actech high school, addison high school",
montrose kuehn-haven middle school,5090,,Montrose Kuehn-Haven Middle School,,"actech high school, addison high school",
holton middle school,5091,,Holton Middle School,,"hamilton middle school, academy for business and technology high school",
portland middle school,5092,,Portland Middle School,,"academy for business and technology high school, academy of the americas high school",
coleman jhs,5093,,Coleman JHS,,coleman juniorsenior high school,
addison middle school,5094,,Addison Middle School,,"academy for business and technology high school, academy of the americas high school",
cass city jhs,5095,,Cass City JHS,,"bay city academy farragut campus, bay city adult educationctp",
mt morris middle school,5096,,Mt Morris Middle School,,"academy for business and technology high school, academy of the americas high school",
laker jhs,5097,,Laker JHS,,laker high school,
stockbridge jhs,5098,,Stockbridge JHS,,stockbridge jrsr high school,
sand creek jhs,5099,,Sand Creek JHS,,"battle creek area learning center, battle creek central high school",
richland gull lake middle school,5100,,Gull Lake Middle School,,"actech high school, addison high school",
addams middle school,5101,,Addams Middle School,,"academy for business and technology high school, academy of the americas high school",
port hope jhs,5102,,Port Hope JHS,,"hope academic academy, hope academy of west michigan",
page middle school,5103,,Page Middle School,,"academy for business and technology high school, academy of the americas high school",
brownell middle school,5104,,Brownell Middle School,,"academy for business and technology high school, academy of the americas high school",
midland northeast middle school,5105,,Northeast Middle School,,"academy for business and technology high school, actech high school",
fair plain ms,5106,,Fair Plain Middle School,,,
mccord renaissance middle school,5107,,McCord Renaissance Middle School,,"actech high school, addison high school",
rittmueller middle school,5108,,Rittmueller Middle School,,"academy for business and technology high school, alba school",
sashabaw middle school,5109,,Sashabaw Middle School,,"academy for business and technology high school, academy of the americas high school",
surline middle school,5110,,Surline Middle School,,"academy for business and technology high school, academy of the americas high school",
owendale-gagetown jhs,5111,,Owendale-Gagetown JHS,,owendalegagetown jrsr high school,
breckenridge middle school,5112,,Breckenridge Middle School,,"academy for business and technology high school, alba school",
fruitport middle school,5113,,Fruitport Middle School,,"academy for business and technology high school, academy of the americas high school",
onsted middle school,5114,,Onsted Middle School,,"academy for business and technology high school, academy of the americas high school",
beach ms,5115,,Beach Middle School,,harbor beach community high school,
edwardsburg middle school,5116,,Edwardsburg Middle School,Eddies,"academy for business and technology high school, alba school",
alba middle school,5117,,Alba Middle School,,"academy for business and technology high school, academy of the americas high school",
hillman jhs,5118,,Hillman JHS,,hillman community jrsr high school,
hayes middle school,5119,,Hayes Middle School,,"academy for business and technology high school, academy of the americas high school",
slauson jhs,5120,,Slauson JHS,,,
newhall middle school,5121,,Newhall Middle School,,"academy for business and technology high school, academy of the americas high school",
garden city middle school,5122,,Garden City Middle School,,"academy for business and technology high school, alba school",
salina intermediate school,5123,,Salina Intermediate School,,"academy for business and technology high school, alba school",
eastland ms,5124,,Eastland Middle School,,,
shelby jhs,5125,,Shelby JHS,,shelby high school,
holland west k-7,5126,,Holland West K-7,,"academy west alternative education, david ellis academy west",
fennville middle school,5127,,Fennville Middle School,,"academy for business and technology high school, academy of the americas high school",
seitz middle school,5128,,Seitz Middle School,,"academy for business and technology high school, academy of the americas high school",
saginaw north middle school,5129,,North Middle School,,"academy for business and technology high school, actech high school",
traverse city west middle school,5130,,Traverse City West Middle School,,"west middle school, actech high school",
ionia middle school,5132,,Ionia Middle School,Bulldogs,"academy for business and technology high school, academy of the americas high school",
new buffalo middle school,5133,,New Buffalo Middle School,,"academy for business and technology high school, alba school",
bellaire middle school,5134,,Bellaire Middle School,,"bellaire middlehigh school, academy for business and technology high school",
sandusky jhs,5136,,Sandusky JHS,,sandusky juniorsenior high school,
greenhills jhs,5137,,Greenhills JHS,,,
east grand rapids middle school,5138,,East Grand Rapids Middle School,,"east grand rapids high school, academy for business and technology high school",
wk kellogg jhs,5139,,WK Kellogg JHS,,"thornapple kellogg high school, wk kellogg preparatory high school",
milwood magnet school,5140,,"Milwood Magnet School: A Center for Math, Science & Technology",,"academy for business and technology high school, academy of the americas high school",
riley middle school,5141,,Riley Middle School,,"academy for business and technology high school, academy of the americas high school",
decatur middle school,5142,,Decatur Middle School,,"academy for business and technology high school, academy of the americas high school",
charlotte middle school,5143,,Charlotte Middle School,,"hart middle school, academy for business and technology high school",
warner middle school,5144,,Warner Middle School,,"academy for business and technology high school, academy of the americas high school",
reed middle school,5145,,Reed Middle School,,"reuther middle school, academy for business and technology high school",
tappan middle school,5146,,Tappan Middle School,,"academy for business and technology high school, academy of the americas high school",
hamtramck kosciuszko middle school,5147,,Kosciuszko Middle School,Cougars,"actech high school, addison high school",
portage west middle school,5149,,Portage West Middle School,,"west middle school, academy for business and technology high school",
marenisco jhs,5150,,Marenisco JHS,,,
whittemore-prescott jhs,5151,,Whittemore-Prescott JHS,,whittemoreprescott jrsr high school,
laingsburg middle school,5152,,Laingsburg Middle School,,"academy for business and technology high school, alba school",
kalkaska middle school,5153,,Kalkaska Middle School,,"academy for business and technology high school, academy of the americas high school",
portage central middle school,5154,,Portage Central Middle School,,"academy for business and technology high school, actech high school",
augres-sims middle school,5155,,AuGres-Sims Middle School,,"academy for business and technology high school, alba school",
paw paw middle school,5156,,Paw Paw Middle School,,"academy for business and technology high school, academy of the americas high school",
meachum jhs,5157,,Meachum JHS,,,
east jackson middle school,5158,,East Jackson Middle School,,"academy for business and technology high school, alba school",
scranton middle school,5159,,Scranton Middle School,,"academy for business and technology high school, academy of the americas high school",
grand haven white pines middle school,5160,,White Pines Middle School,,"actech high school, addison high school",
chesaning middle school,5161,,Chesaning Middle School,,"academy for business and technology high school, academy of the americas high school",
cantrick middle school,5162,,Cantrick Middle School,,"academy for business and technology high school, academy of the americas high school",
l'anse creuse middle sch north,5164,,L'Anse Creuse Middle Sch North,,"ca frost environmental science academy middle high school, hart middle school",
west maple middle school,5165,,West Maple Middle School,,"west middle school, academy for business and technology high school",
inland lakes jhs,5166,,Inland Lakes JHS,,"great lakes bay early college, great lakes learning academy mshs",
pittsford middle school,5167,,Pittsford Middle School,,"academy for business and technology high school, academy of the americas high school",
leslie middle school,5168,,Leslie Middle School,Blackhawks,"academy for business and technology high school, academy of the americas high school",
derby middle school,5169,,Derby Middle School,,"academy for business and technology high school, academy of the americas high school",
crestwood middle school,5170,,Crestwood Middle School,,"academy for business and technology high school, academy of the americas high school",
kalamazoo hillside middle school,5171,,Hillside Middle School,,"actech high school, addison high school",
liberty middle school,5172,,Liberty Middle School,,"academy for business and technology high school, academy of the americas high school",
east jordan middle school,5173,,East Jordan Middle School,Red Devils,"east jordan middlehigh school, academy for business and technology high school",
deerfield middle school,5174,,Deerfield Middle School,,"academy for business and technology high school, academy of the americas high school",
bloomingdale middle school,5175,,Bloomingdale Middle School,,"bloomingdale middle and high school, academy for business and technology high school",
springbrook middle school ,5176,,Springbrook Middle School ,,"academy for business and technology high school, alba school",
renton jhs,5177,,Renton JHS,,,
keller middle school,5179,,Keller Middle School,,"academy for business and technology high school, academy of the americas high school",
lee middle school,5180,,Lee Middle School,,"academy for business and technology high school, academy of the americas high school",
battle creek lakeview middle school,5181,,Lakeview Middle School,,"actech high school, addison high school",
birmingham covington school,5182,,Birmingham Covington School,,"academy for business and technology high school, actech high school",
oakwood middle school,5183,,Oakwood Middle School,,"academy for business and technology high school, academy of the americas high school",
forest hills northern hills middle school,5184,,Forest Hills Northern Hills Middle School,,"actech high school, addison high school",
best middle school,5185,,Best Middle School,,"west middle school, academy for business and technology high school",
summerfield jhs,5186,,Summerfield JHS,,summerfield juniorsenior high school,
chippewa hills intermediate school,5188,,Chippewa Hills Intermediate School,,"actech high school, addison high school",
churchill jhs,5189,,Churchill JHS,,"churchill community ed center, churchill high school",
swan valley middle school,5190,,Swan Valley Middle School,,"academy for business and technology high school, alba school",
fuhrmann middle school,5191,,Fuhrmann Middle School,,"academy for business and technology high school, academy of the americas high school",
iroquois middle school,5192,,Iroquois Middle School,,"academy for business and technology high school, academy of the americas high school",
beer middle school,5193,,Beer Middle School,,"reuther middle school, academy for business and technology high school",
kenowa hills middle school,5195,,Kenowa Hills Middle School,,"academy for business and technology high school, alba school",
wolverine middle school,5196,,Wolverine Middle School,,"wolverine middlehigh school, academy for business and technology high school",
white pigeon jhs,5197,,White Pigeon JHS,,"white lake area community education, white pigeon jrsr high school",
vassar middle school,5198,,Vassar Middle School,,"academy for business and technology high school, academy of the americas high school",
meridian jhs,5199,,Meridian JHS,,meridian early college high school,
saginaw webber middle school,5200,,Webber Middle School,,"academy for business and technology high school, actech high school",
white pine middle school,5201,,White Pine Middle School,,"academy for business and technology high school, alba school",
romeo middle school,5202,,Romeo Middle School,,"academy for business and technology high school, academy of the americas high school",
north rockford middle school,5203,,North Rockford Middle School,,"academy for business and technology high school, actech high school",
reese middle school,5204,,Reese Middle School,,"academy for business and technology high school, academy of the americas high school",
portage north middle school,5205,,Portage North Middle School,,"academy for business and technology high school, actech high school",
pioneer middle school,5206,,Pioneer Middle School,,"academy for business and technology high school, academy of the americas high school",
brandon middle school,5207,,Brandon Middle School,,"academy for business and technology high school, academy of the americas high school",
bunker middle school,5208,,Bunker Middle School,,"academy for business and technology high school, academy of the americas high school",
nelson jhs,5209,,Nelson JHS,,,
delton-kellogg middle school,5210,,Delton-Kellogg Middle School,,"academy for business and technology high school, actech high school",
constantine middle school,5211,,Constantine Middle School,,"academy for business and technology high school, alba school",
grandville middle school,5212,,Grandville Middle School,Bulldogs,"academy for business and technology high school, alba school",
iroquois jhs,5213,,Iroquois JHS,,,
northview crossroads middle school,5214,,Northview Crossroads Middle School,,"actech high school, addison high school",
shumate middle school,5215,,Shumate Middle School,,"hart middle school, academy for business and technology high school",
andrew g schmidt middle school,5216,,Andrew G Schmidt Middle School,,"academy for business and technology high school, actech high school",
power middle school,5217,,Power Middle School,,"academy for business and technology high school, academy of the americas high school",
manchester jhs,5218,,Manchester JHS,,manchester juniorsenior high school,
clarenceville middle school,5219,,Clarenceville Middle School,,"academy for business and technology high school, actech high school",
grand rapids g r ford,5220,,G R Ford Middle School,,"covenant house academy grand rapids, grand blanc community high school",
grand rapids martin luther king academy,5221,,Martin Luther King Jr Academy,,"54th street academy, academy 21",
grattan academic ms,5222,,Grattan Academic MS,,"academic and career education academy, flat rock academic virtual academy 612",
drager middle school,5223,,Drager Middle School,,"academy for business and technology high school, academy of the americas high school",
grand rapids alger middle school,5224,,Alger Middle School,,"actech high school, addison high school",
st francis of assisi school,5225,,St Francis Of Assisi School,,"academy for business and technology high school, academy of science math and technology early college high sc",
east hills middle school,5226,,East Hills Middle School,,"academy for business and technology high school, alba school",
blissfield middle school,5227,,Blissfield Middle School,,"academy for business and technology high school, alba school",
baraga jhs,5228,,Baraga JHS,,baraga maximum correctional facility,
thunder bay jhs,5229,,Thunder Bay JHS,,"bay city academy farragut campus, bay city adult educationctp",
algonquin middle school,5230,,Algonquin Middle School,,"academy for business and technology high school, academy of the americas high school",
bullock creek middle school,5231,,Bullock Creek Middle School,,"academy for business and technology high school, actech high school",
menominee jhs,5232,,Menominee JHS,,"link learning menominee, menominee high school",
whitmore lake middle school,5233,,Whitmore Lake Middle School,,"academy for business and technology high school, actech high school",
bronson jhs,5234,,Bronson JHS,,bronson jrsr high school,
clarkston jhs,5235,,Clarkston JHS,,"clarkston high school, clarkston junior high school",
carleton middle school,5236,,Carleton Middle School,,"academy for business and technology high school, academy of the americas high school",
meads mill middle school,5237,,Meads Mill Middle School,,"academy for business and technology high school, alba school",
lowrey middle school,5238,,Lowrey Middle School,,"academy for business and technology high school, academy of the americas high school",
bath middle school,5239,,Bath Middle School,,"hart middle school, academy for business and technology high school",
legg middle school,5240,,Legg Middle School,,"academy for business and technology high school, academy of the americas high school",
caro middle school,5241,,Caro Middle School,,"hart middle school, academy for business and technology high school",
mckinley communication arts academy,5242,,McKinley Communication Arts Academy,,"54th street academy, academy 21",
glen lake middle school,5243,,Glen Lake Middle School,Lakers,"academy for business and technology high school, academy of the americas high school",
westland marshall middle school,5244,,Marshall Middle School,,"academy for business and technology high school, actech high school",
memphis jhs,5245,,Memphis JHS,,memphis juniorsenior high school,
roscommon middle school,5246,,Roscommon Middle School,,"academy for business and technology high school, academy of the americas high school",
baseline middle school,5247,,Baseline Middle School,,"academy for business and technology high school, academy of the americas high school",
cherryland middle school,5249,,Cherryland Middle School,,"academy for business and technology high school, alba school",
middle school at parkside,5250,,Middle School at Parkside,,"academy for business and technology high school, alba school",
merrill middle school,5251,,Merrill Middle School,,"academy for business and technology high school, academy of the americas high school",
chatterton middle school,5252,,Chatterton Middle School,,"academy for business and technology high school, alba school",
holy redeemer school,5253,,Holy Redeemer School,,"academy for business and technology high school, academy of the americas high school",
sterling heights st paul lutheran jhs,5254,,St Paul Lutheran JHS,,"link learning st louis, muskegon heights academy",
pathfinder school,5255,,Pathfinder School,,"academy for business and technology high school, academy of the americas high school",
st pius x catholic school,5256,,St Pius X Catholic School,,"academy for business and technology high school, alba school",
webberville middle school,5258,,Webberville Middle School,,"academy for business and technology high school, alba school",
fort gratiot middle school,5260,,Fort Gratiot Middle School,,"academy for business and technology high school, alba school",
st john the evangelist,5261,,St John The Evangelist,,"academy of the americas high school, charlevoix montessori academy for the arts",
sam adams middle school,5262,,Sam Adams Middle School,,"academy for business and technology high school, academy of the americas high school",
eau claire middle school,5263,,Eau Claire Middle School,,"academy for business and technology high school, alba school",
fulton middle school,5264,,Fulton Middle School,,"academy for business and technology high school, academy of the americas high school",
maples jhs,5265,,Maples JHS,,,
albion middle school,5266,,Albion Middle School,,"academy for business and technology high school, academy of the americas high school",
mc pherson middle school,5268,,Mc Pherson Middle School,,"academy for business and technology high school, alba school",
lincoln park middle school,5269,,Lincoln Park Middle School,,"academy for business and technology high school, alba school",
strong middle school,5270,,Strong Middle School,,"academy for business and technology high school, academy of the americas high school",
napoleon middle school,5271,,Napoleon Middle School,,"academy for business and technology high school, academy of the americas high school",
rose city middle school,5272,,Rose City Middle School,,"academy for business and technology high school, academy of the americas high school",
kennedy jhs,5273,,Kennedy JHS,,kennedy learning center,
willow run intermediate,5274,,Willow Run Intermediate Learning Ctr,,,
fremont middle school,5275,,Fremont Middle School,,"academy for business and technology high school, academy of the americas high school",
conner creek academy (jhs) west,5276,,Conner Creek Academy West,,"54th street academy, academy 21",
riverside academy-west,5277,,Riverside Academy-West,,"riverside academy, riverside academy west campus",
trillium academy 6/7/8,5278,,Trillium Academy 6/7/8,,"trillium academy, academic and career education academy",
romulus middle school,5279,,Romulus Middle School,,"academy for business and technology high school, academy of the americas high school",
st mary's assumption school,5280,,St Mary's Assumption School,,"academy for business and technology high school, actech high school",
west shore christian jhs,5281,,West Shore Christian JHS,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west",
washington intermediate school,5282,,Washington Intermediate School,,"academy for business and technology high school, actech high school",
vandercook lake middle school,5283,,Vandercook Lake Middle School,,"academy for business and technology high school, actech high school",
armstrong middle school,5284,,Armstrong Middle School,,"academy for business and technology high school, academy of the americas high school",
st francis de sales,5285,,St Francis de Sales JH Academy,,"st charles community middlehigh school, st clair county intervention academy",
hilbert middle school,5286,,Hilbert Middle School,Panthers,"hart middle school, academy for business and technology high school",
ontonagon area jhs,5287,,Ontonagon Area JHS,,"allegan county area technical and education center, battle creek area learning center",
baptist park school 7th/8th,5288,,Baptist Park School 7th/8th,,"academy for business and technology high school, actech high school",
madison middle school,5289,,Madison Middle School,,"academy for business and technology high school, academy of the americas high school",
kraft meadows middle school,5290,,Kraft Meadows Middle School,,"academy for business and technology high school, actech high school",
dexter mill creek middle school,5292,,Mill Creek Middle School,,"academy for business and technology high school, actech high school",
boyne city middle school,5293,,Boyne City Middle School,,"academy for business and technology high school, alba school",
ferris middle school,5294,,Ferris Middle School,,"academy for business and technology high school, academy of the americas high school",
henry ford academy 7/8,5295,,Henry Ford Academy,,"henry ford academy, academic and career education academy",
perry middle school,5296,,Perry Middle School,,"academy for business and technology high school, academy of the americas high school",
university liggett middle sch,5297,,University Liggett Middle Sch,,"ca frost environmental science academy middle high school, hart middle school",
detroit world outreach christian academy,5298,,Detroit World Outreach Christian Academy,,"54th street academy, academy 21",
lakewood middle school,5299,,Lakewood Middle School,,"academy for business and technology high school, academy of the americas high school",
st peter lutheran jhs,5301,,St Peter Lutheran JHS,,"st charles community middlehigh school, st clair county intervention academy",
ch smart middle school,5302,,CH Smart Middle School,,"hart middle school, academy for business and technology high school",
warren trinity lutheran jhs,5303,,Trinity Lutheran JHS,,warren consolidated community high school,
tekonsha middle school,5304,,Tekonsha Middle School,,"academy for business and technology high school, academy of the americas high school",
forest hills central middle school,5305,,Forest Hills Central Middle School,,"actech high school, addison high school",
academy of the sacred heart,5306,,Academy Of The Sacred Heart,,"academy of the sacred heart, sacred heart academy",
fowlerville jhs,5307,,Fowlerville JHS,,"fowlerville high school, fowlerville online learning academy",
mather elementary,5308,,Mather Elementary,,,
wesleyan christian academy,5309,,Wesleyan Christian Academy,,"academy 21, academy for business and technology high school",
johannesburg-lewiston middle school,5310,,Johannesburg-Lewiston Middle School,,"johannesburglewiston high school, actech high school",
